animal_id,farm_id,species,breed,age_years,weight_kg,sex,physiological_stage,health_status,latitude,longitude,elevation_m,climate_zone,date,temperature_c,humidity_percent,wind_speed_m_s,solar_radiation_w_m2,thi,hli,risk_level
597,FARM_006,cattle,Simmental,7.988403723859163,644.5346408866587,male,lactating,healthy,30.10599457829576,-8.846878747929212,286.14859711627514,Oceanic,2023-11-14,14.56,61,3.6,327.35,58.16,14.44,Low
59,FARM_001,sheep,Dorper,4.521953810060614,92.82449205941612,male,lactating,healthy,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean,2023-08-27,19.51,35,3.03,350.45,63.88,18.52,Low
82,FARM_001,sheep,Rambouillet,7.742557776084279,50.60772373449082,female,lactating,healthy,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean,2023-06-01,21.4,52,0.41,503.0,67.23,23.32,Low
567,FARM_006,sheep,Merino,4.4862827513980825,87.1412487453158,female,pregnant,healthy,30.10599457829576,-8.846878747929212,286.14859711627514,Oceanic,2023-08-08,31.14,69,0.39,253.19,82.87,32.65,High
808,FARM_009,goat,Alpine,1.3324953306534666,53.24585956656599,female,pregnant,healthy,38.88621853293064,-7.6774793640001135,323.39518335564725,Mediterranean,2023-05-30,29.07,10,1.11,244.18,71.29,27.24,Low
184,FARM_002,sheep,Merino,2.2640274158913347,78.39726152763147,female,pregnant,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-12-11,10.14,73,2.26,56.24,51.4,9.95,Low
48,FARM_001,sheep,Merino,1.261437321244501,91.13002803298292,female,pregnant,healthy,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean,2023-02-09,11.55,68,4.65,399.75,53.69,11.64,Low
226,FARM_003,goat,Boer,5.780786967184165,51.766718933739114,female,growing,minor_illness,42.992642186624025,20.05575058716044,368.63266000822045,Continental,2023-01-17,3.84,38,4.22,393.28,45.39,2.61,Low
803,FARM_009,goat,Toggenburg,6.9674919342115595,48.07367341455033,female,lactating,healthy,38.88621853293064,-7.6774793640001135,323.39518335564725,Mediterranean,2023-12-14,-2.99,61,1.86,444.94,33.28,-1.63,Low
213,FARM_003,cattle,Holstein,6.686321743150016,503.9214324256639,female,growing,healthy,42.992642186624025,20.05575058716044,368.63266000822045,Continental,2023-02-03,4.51,62,2.7,208.68,43.89,4.29,Low
433,FARM_005,sheep,Texel,2.5839537574996227,69.21198100686907,male,growing,healthy,32.72737450810651,-0.8297745073283096,186.90900933179196,Continental,2023-08-12,27.52,58,4.86,384.08,76.04,26.89,Moderate
145,FARM_002,sheep,Dorper,6.15510964937306,96.71835073845074,female,pregnant,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-12-28,6.05,78,0.43,439.07,44.7,8.94,Low
367,FARM_004,goat,Saanen,5.3946923910285385,61.93282334905697,female,pregnant,healthy,30.846173685406505,26.099938613341237,472.3487190570876,Continental,2023-05-13,24.39,20,1.81,442.1,68.03,23.7,Low
130,FARM_002,cattle,Angus,8.15740580673901,480.6509280190978,female,pregnant,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-08-25,23.12,76,2.72,207.37,71.52,23.57,Low
957,FARM_010,goat,Boer,4.4632964380537015,66.96151469699828,female,lactating,healthy,36.757488779543145,-9.336751942006673,473.99079005818373,Continental,2023-02-06,24.1,71,0.7,286.18,72.62,25.74,Low
313,FARM_004,goat,Nubian,4.708310045723116,65.32758504053857,female,lactating,healthy,30.846173685406505,26.099938613341237,472.3487190570876,Continental,2023-06-19,35.89,80,7.06,85.88,92.35,33.79,Critical
639,FARM_007,goat,Toggenburg,6.857121849928502,67.33815109630035,male,lactating,healthy,32.092407909780626,4.607232426760907,214.86282948216126,Continental,2023-10-10,11.92,62,1.82,423.34,54.4,13.24,Low
913,FARM_010,sheep,Merino,3.5057283617293526,66.68304453168463,male,dry,healthy,36.757488779543145,-9.336751942006673,473.99079005818373,Continental,2023-05-13,30.0,37,2.01,381.74,76.31,29.76,Moderate
940,FARM_010,goat,Saanen,4.088453162540679,43.98318854160116,male,growing,minor_illness,36.757488779543145,-9.336751942006673,473.99079005818373,Continental,2023-12-11,-2.63,73,2.79,376.49,31.78,-1.49,Low
560,FARM_006,goat,Alpine,1.5524019164948526,63.961783486015264,female,pregnant,healthy,30.10599457829576,-8.846878747929212,286.14859711627514,Oceanic,2023-12-09,-6.48,57,3.43,243.45,29.15,-7.11,Moderate
128,FARM_002,goat,Alpine,6.104364760098728,69.83898102194873,female,dry,minor_illness,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-12-26,6.12,35,4.25,111.72,48.36,3.32,Low
685,FARM_007,cattle,Hereford,4.700777399942912,560.9625037197247,male,dry,healthy,32.092407909780626,4.607232426760907,214.86282948216126,Continental,2023-01-05,9.96,54,1.87,395.61,51.97,10.7,Low
906,FARM_010,goat,Boer,3.6021659879222803,73.93887097625058,male,growing,healthy,36.757488779543145,-9.336751942006673,473.99079005818373,Continental,2023-07-08,40.09,65,2.13,0.0,95.34,39.29,Critical
711,FARM_008,cattle,Angus,1.822366943743683,525.9303317406595,female,lactating,healthy,31.359096517992313,20.919300466654363,222.10789607022323,Semi-arid,2023-01-01,11.03,68,4.24,288.06,52.94,10.75,Low
83,FARM_001,cattle,Simmental,9.936683165073703,429.5186258941595,male,pregnant,minor_illness,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean,2023-12-04,1.58,84,0.81,246.29,36.88,3.6,Low
357,FARM_004,goat,Boer,5.115467626299182,79.64505727285214,female,pregnant,healthy,30.846173685406505,26.099938613341237,472.3487190570876,Continental,2023-04-22,31.2,71,5.13,142.61,83.35,29.9,High
112,FARM_002,goat,Boer,6.3712410261231955,60.467097684626644,male,growing,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-04-06,29.87,71,1.78,173.12,81.37,30.4,High
855,FARM_009,goat,Nubian,3.8127392830407456,68.22541585475926,male,pregnant,healthy,38.88621853293064,-7.6774793640001135,323.39518335564725,Mediterranean,2023-11-26,11.15,33,3.45,387.56,54.27,10.0,Low
220,FARM_003,cattle,Angus,5.062483218967079,465.44952847666764,male,lactating,healthy,42.992642186624025,20.05575058716044,368.63266000822045,Continental,2023-04-05,25.86,46,2.94,359.59,72.46,25.5,Moderate
347,FARM_004,cattle,Hereford,3.942384547042712,459.55522013297787,male,dry,healthy,30.846173685406505,26.099938613341237,472.3487190570876,Continental,2023-12-14,8.44,15,3.06,217.48,52.26,5.73,Low
698,FARM_007,cattle,Holstein,1.687958749355029,758.3536724770638,female,growing,healthy,32.092407909780626,4.607232426760907,214.86282948216126,Continental,2023-08-01,37.24,79,5.16,269.55,94.31,36.96,Critical
55,FARM_001,cattle,Angus,3.229578905510417,542.3890714605046,male,dry,healthy,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean,2023-01-21,7.81,66,3.45,244.88,48.32,7.6,Low
705,FARM_008,cattle,Angus,4.191995844865746,620.2653517763406,female,dry,healthy,31.359096517992313,20.919300466654363,222.10789607022323,Semi-arid,2023-09-18,28.72,62,3.75,397.87,78.33,28.94,Moderate
88,FARM_001,cattle,Hereford,6.425036938209686,508.38305700605196,male,dry,healthy,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean,2023-03-07,17.54,42,6.84,394.4,61.81,15.22,Low
93,FARM_001,goat,Nubian,5.877406054780465,79.98870693144522,female,pregnant,healthy,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean,2023-10-27,17.99,57,0.72,142.35,62.88,18.2,Low
932,FARM_010,sheep,Suffolk,5.037655437467791,55.960522142028665,female,lactating,healthy,36.757488779543145,-9.336751942006673,473.99079005818373,Continental,2023-11-24,6.51,90,0.79,412.95,44.49,9.69,Low
658,FARM_007,goat,Nubian,1.9918137168277676,74.17043155989343,male,lactating,healthy,32.092407909780626,4.607232426760907,214.86282948216126,Continental,2023-01-10,9.16,46,2.58,278.9,51.3,8.58,Low
238,FARM_003,sheep,Suffolk,6.486827873932033,74.04519157244924,male,lactating,healthy,42.992642186624025,20.05575058716044,368.63266000822045,Continental,2023-09-15,24.25,10,3.56,461.35,66.92,22.28,Low
899,FARM_009,cattle,Holstein,2.4552509794658817,786.332927887333,female,dry,healthy,38.88621853293064,-7.6774793640001135,323.39518335564725,Mediterranean,2023-08-27,24.23,54,5.55,57.14,71.19,21.46,Low
75,FARM_001,cattle,Simmental,8.546326873875866,570.4365900187764,female,dry,healthy,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean,2023-11-02,17.37,60,5.93,114.08,62.11,14.98,Low
662,FARM_007,sheep,Texel,2.747682669181611,63.16236732590056,male,lactating,healthy,32.092407909780626,4.607232426760907,214.86282948216126,Continental,2023-12-06,3.92,54,5.4,278.22,43.84,2.31,Low
724,FARM_008,cattle,Jersey,9.342247116979973,485.47925662813134,female,lactating,healthy,31.359096517992313,20.919300466654363,222.10789607022323,Semi-arid,2023-03-25,26.45,63,1.59,450.32,75.26,28.08,Moderate
557,FARM_006,sheep,Merino,6.165194893842243,85.22772140137226,male,lactating,healthy,30.10599457829576,-8.846878747929212,286.14859711627514,Oceanic,2023-04-20,31.4,66,1.42,452.97,82.8,33.25,High
442,FARM_005,cattle,Jersey,4.373232110036167,589.6025713932623,female,growing,recovering,32.72737450810651,-0.8297745073283096,186.90900933179196,Continental,2023-08-15,26.66,66,0.76,358.51,75.82,28.35,Moderate
269,FARM_003,sheep,Merino,3.2986685951955677,81.51043741645721,female,pregnant,healthy,42.992642186624025,20.05575058716044,368.63266000822045,Continental,2023-08-23,22.9,59,0.57,359.45,69.82,24.39,Low
416,FARM_005,cattle,Holstein,3.9821230639274567,592.816423244833,female,dry,healthy,32.72737450810651,-0.8297745073283096,186.90900933179196,Continental,2023-03-23,24.98,29,1.06,542.71,69.57,25.62,Low
179,FARM_002,sheep,Merino,2.7248142326737477,90.95511588371,male,growing,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-05-12,43.44,80,1.8,504.61,104.53,46.07,Critical
191,FARM_002,goat,Boer,6.987604663200025,54.028472618068406,female,lactating,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-10-07,15.79,29,3.52,419.91,59.48,14.6,Low
754,FARM_008,sheep,Texel,7.940174974899544,86.34194155241187,male,growing,recovering,31.359096517992313,20.919300466654363,222.10789607022323,Semi-arid,2023-01-27,11.38,55,2.4,176.25,53.84,10.81,Low
728,FARM_008,sheep,Texel,3.9828486656656157,91.61817698304975,male,pregnant,healthy,31.359096517992313,20.919300466654363,222.10789607022323,Semi-arid,2023-07-09,39.2,33,5.13,455.59,86.19,37.57,High
141,FARM_002,goat,Toggenburg,5.96079296685447,78.36299178256111,female,dry,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-12-23,-0.43,60,1.16,183.4,37.08,-0.08,Low
701,FARM_008,goat,Toggenburg,3.7547441397200854,52.13143563397132,male,growing,healthy,31.359096517992313,20.919300466654363,222.10789607022323,Semi-arid,2023-06-09,37.05,66,4.98,192.24,91.14,35.83,Critical
121,FARM_002,goat,Nubian,1.0318000383856325,79.0026865178057,female,growing,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-03-17,16.42,67,0.08,247.49,60.92,17.98,Low
510,FARM_006,goat,Saanen,4.135238300392319,48.764699178797535,male,lactating,minor_illness,30.10599457829576,-8.846878747929212,286.14859711627514,Oceanic,2023-12-13,1.73,41,4.89,439.0,42.57,0.52,Low
726,FARM_008,goat,Saanen,4.53011332589892,55.90737657732219,male,dry,healthy,31.359096517992313,20.919300466654363,222.10789607022323,Semi-arid,2023-02-26,7.11,68,3.2,317.46,47.13,7.49,Low
820,FARM_009,goat,Alpine,4.935419878590397,47.95256243749612,male,lactating,healthy,38.88621853293064,-7.6774793640001135,323.39518335564725,Mediterranean,2023-07-02,42.18,65,2.95,488.82,98.2,43.37,Critical
885,FARM_009,sheep,Merino,5.518740494873656,57.78866302900851,male,dry,healthy,38.88621853293064,-7.6774793640001135,323.39518335564725,Mediterranean,2023-02-01,8.54,70,2.44,327.72,49.15,9.43,Low
7,FARM_001,cattle,Hereford,3.641393572462343,405.6319290860338,male,lactating,healthy,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean,2023-04-17,29.05,30,0.11,146.2,74.09,28.2,Moderate
738,FARM_008,goat,Nubian,6.8636795953986836,71.75272415632159,female,pregnant,healthy,31.359096517992313,20.919300466654363,222.10789607022323,Semi-arid,2023-02-15,21.64,98,8.34,171.34,70.79,20.22,Low
654,FARM_007,sheep,Dorper,5.606578093244332,55.85058624289731,female,dry,healthy,32.092407909780626,4.607232426760907,214.86282948216126,Continental,2023-08-17,28.71,76,1.27,530.2,80.31,31.53,Moderate
258,FARM_003,cattle,Holstein,6.262036303983298,675.2831463466382,female,lactating,healthy,42.992642186624025,20.05575058716044,368.63266000822045,Continental,2023-11-26,2.14,79,4.78,185.9,38.36,1.66,Low
246,FARM_003,sheep,Texel,3.952046488114188,63.841389861752575,male,dry,minor_illness,42.992642186624025,20.05575058716044,368.63266000822045,Continental,2023-02-18,12.03,76,1.35,291.48,54.23,13.58,Low
383,FARM_004,sheep,Texel,2.162240193913368,80.67365693195882,male,pregnant,healthy,30.846173685406505,26.099938613341237,472.3487190570876,Continental,2023-05-14,34.22,62,0.34,438.19,86.07,36.32,High
900,FARM_009,cattle,Jersey,8.960308548370833,621.5973022012524,male,lactating,healthy,38.88621853293064,-7.6774793640001135,323.39518335564725,Mediterranean,2023-12-24,-2.15,38,0.41,130.57,38.25,-2.78,Low
464,FARM_005,goat,Alpine,5.338896918787777,51.213378431660836,female,dry,healthy,32.72737450810651,-0.8297745073283096,186.90900933179196,Continental,2023-04-14,31.03,50,3.82,286.86,79.64,30.05,Moderate
175,FARM_002,cattle,Angus,3.6740954406085753,626.5618561187589,female,pregnant,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-01-14,10.45,41,5.05,176.94,53.16,7.84,Low
870,FARM_009,cattle,Simmental,1.7304780201734307,580.8809916414154,male,lactating,healthy,38.88621853293064,-7.6774793640001135,323.39518335564725,Mediterranean,2023-01-30,12.26,100,4.46,144.89,54.06,12.75,Low
935,FARM_010,sheep,Rambouillet,7.193655629214557,61.56788211297045,male,growing,recovering,36.757488779543145,-9.336751942006673,473.99079005818373,Continental,2023-04-07,31.42,74,2.0,510.67,84.19,33.68,High
325,FARM_004,goat,Toggenburg,1.90101400490225,69.49735074885942,male,pregnant,healthy,30.846173685406505,26.099938613341237,472.3487190570876,Continental,2023-10-30,15.08,79,2.05,166.89,59.02,15.87,Low
917,FARM_010,goat,Boer,3.040026316359353,74.78598739248685,male,lactating,healthy,36.757488779543145,-9.336751942006673,473.99079005818373,Continental,2023-04-08,29.62,33,3.22,359.07,75.3,28.47,Moderate
855,FARM_009,goat,Nubian,3.8127392830407456,68.22541585475926,male,pregnant,healthy,38.88621853293064,-7.6774793640001135,323.39518335564725,Mediterranean,2023-12-27,3.94,67,3.88,290.64,42.52,3.81,Low
81,FARM_001,cattle,Hereford,9.659552936270877,549.9482318094816,male,lactating,healthy,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean,2023-07-03,33.23,48,6.45,639.27,82.07,32.58,High
457,FARM_005,goat,Alpine,1.3568294132036847,40.12671394322807,male,lactating,healthy,32.72737450810651,-0.8297745073283096,186.90900933179196,Continental,2023-09-26,24.35,53,1.75,348.4,71.22,24.87,Low
208,FARM_003,cattle,Holstein,8.907669877196422,718.9704086427712,female,growing,healthy,42.992642186624025,20.05575058716044,368.63266000822045,Continental,2023-01-12,4.15,68,2.23,52.93,42.72,3.71,Low
488,FARM_005,sheep,Merino,7.231505018453221,64.37047982327898,male,lactating,healthy,32.72737450810651,-0.8297745073283096,186.90900933179196,Continental,2023-05-11,22.98,50,6.36,32.88,69.1,19.44,Low
953,FARM_010,cattle,Hereford,3.1511308119934904,651.5491587952702,male,lactating,healthy,36.757488779543145,-9.336751942006673,473.99079005818373,Continental,2023-04-21,31.22,50,1.7,196.14,79.87,30.84,High
859,FARM_009,cattle,Simmental,9.782009366940393,547.6544775236819,female,dry,healthy,38.88621853293064,-7.6774793640001135,323.39518335564725,Mediterranean,2023-04-02,26.37,66,0.41,512.74,75.4,29.01,Moderate
798,FARM_008,sheep,Texel,3.9058745767430474,50.716545293350066,male,lactating,healthy,31.359096517992313,20.919300466654363,222.10789607022323,Semi-arid,2023-06-18,45.11,96,1.94,471.38,111.89,48.28,Critical
186,FARM_002,goat,Nubian,6.067296391210422,52.76401892973023,female,pregnant,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-04-05,20.08,33,2.84,321.46,64.4,18.91,Low
816,FARM_009,sheep,Dorper,4.217512181700162,83.78806464476119,female,pregnant,healthy,38.88621853293064,-7.6774793640001135,323.39518335564725,Mediterranean,2023-05-08,31.38,40,5.28,253.2,78.49,29.02,Moderate
166,FARM_002,cattle,Jersey,6.091989579699044,794.1469248966939,male,growing,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-02-19,12.05,48,3.05,425.49,54.92,12.05,Moderate
691,FARM_007,goat,Saanen,4.363478854006292,77.70636707866521,female,pregnant,healthy,32.092407909780626,4.607232426760907,214.86282948216126,Continental,2023-01-06,6.2,71,3.64,81.91,45.53,5.34,Low
301,FARM_004,cattle,Angus,8.427574974096071,511.8814153885917,female,growing,healthy,30.846173685406505,26.099938613341237,472.3487190570876,Continental,2023-01-20,10.23,68,5.88,164.9,51.74,8.53,Low
776,FARM_008,cattle,Simmental,7.3189670870241335,532.5408874945268,female,growing,healthy,31.359096517992313,20.919300466654363,222.10789607022323,Semi-arid,2023-09-09,27.79,83,2.41,40.41,79.81,27.95,High
814,FARM_009,goat,Boer,3.0051562850386597,69.23481383104641,female,growing,healthy,38.88621853293064,-7.6774793640001135,323.39518335564725,Mediterranean,2023-01-06,7.17,72,4.23,179.67,46.94,6.54,Low
70,FARM_001,cattle,Hereford,1.0975388633226852,762.1527905677054,female,lactating,healthy,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean,2023-12-23,5.61,38,0.62,289.09,47.55,5.63,Low
952,FARM_010,sheep,Dorper,2.4244159618871874,97.72769212087499,male,dry,healthy,36.757488779543145,-9.336751942006673,473.99079005818373,Continental,2023-03-16,15.26,57,0.95,346.84,59.12,16.35,Low
170,FARM_002,sheep,Merino,3.8367366161938214,74.87324469899453,female,pregnant,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-12-14,4.88,81,0.75,313.35,42.54,7.14,Low
991,FARM_010,cattle,Hereford,8.395771752868512,455.58759675464984,male,lactating,healthy,36.757488779543145,-9.336751942006673,473.99079005818373,Continental,2023-08-20,29.91,38,4.48,228.2,76.27,27.68,Moderate
151,FARM_002,cattle,Holstein,4.261545092049698,632.2353401112174,female,dry,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-04-25,25.67,80,6.37,100.92,75.99,23.99,Moderate
369,FARM_004,cattle,Jersey,2.304685651418353,690.0622910204459,male,growing,healthy,30.846173685406505,26.099938613341237,472.3487190570876,Continental,2023-08-29,20.93,48,4.1,480.3,66.35,20.69,Low
99,FARM_001,sheep,Suffolk,6.635312672635533,95.15755293383131,female,growing,recovering,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean,2023-06-17,42.06,83,1.4,314.16,103.07,44.08,Critical
18,FARM_001,sheep,Rambouillet,5.847052230231892,63.470616689926075,female,pregnant,healthy,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean,2023-11-27,0.71,90,4.64,0.0,34.66,-0.12,Low
902,FARM_010,sheep,Dorper,6.165494382991602,79.871462128671,male,growing,healthy,36.757488779543145,-9.336751942006673,473.99079005818373,Continental,2023-02-19,7.18,72,3.1,248.77,46.93,7.47,Low
375,FARM_004,sheep,Texel,1.4359117411731992,75.62513243851659,female,pregnant,healthy,30.846173685406505,26.099938613341237,472.3487190570876,Continental,2023-04-22,30.41,37,4.02,396.72,76.74,29.21,Moderate
37,FARM_001,cattle,Hereford,7.020316536967897,745.6670260287613,female,lactating,healthy,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean,2023-12-16,5.01,71,5.82,569.87,43.73,5.49,Low
537,FARM_006,sheep,Merino,2.8819271971699036,81.42170237094994,female,lactating,healthy,30.10599457829576,-8.846878747929212,286.14859711627514,Oceanic,2023-03-21,21.39,32,1.96,227.8,65.84,20.16,Low
137,FARM_002,cattle,Simmental,3.236402258330192,697.5785170290708,female,growing,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-09-09,22.52,36,2.63,290.37,67.45,21.47,Low
30,FARM_001,goat,Alpine,2.6732281155530915,68.01431319891086,female,pregnant,healthy,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean,2023-04-04,22.39,68,0.18,251.61,69.81,23.98,Low
944,FARM_010,goat,Nubian,5.538706527933471,58.96631783516319,male,growing,healthy,36.757488779543145,-9.336751942006673,473.99079005818373,Continental,2023-07-31,33.47,86,7.05,194.92,89.65,32.23,Critical
91,FARM_001,sheep,Merino,3.6371727895655854,87.4789149988036,male,dry,healthy,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean,2023-10-12,19.01,73,4.64,198.51,64.98,18.32,Low
488,FARM_005,sheep,Merino,7.231505018453221,64.37047982327898,male,lactating,healthy,32.72737450810651,-0.8297745073283096,186.90900933179196,Continental,2023-09-17,18.48,95,6.14,99.61,65.06,17.65,Low
94,FARM_001,cattle,Simmental,9.502891568941852,739.8589562709647,male,lactating,healthy,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean,2023-01-16,-1.03,70,5.75,0.0,34.78,-3.42,Low
479,FARM_005,sheep,Texel,5.725980428047676,55.80113406740846,male,dry,healthy,32.72737450810651,-0.8297745073283096,186.90900933179196,Continental,2023-08-07,32.06,97,2.3,370.78,89.2,34.62,Critical
191,FARM_002,goat,Boer,6.987604663200025,54.028472618068406,female,lactating,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-01-20,15.82,35,2.49,0.0,59.59,13.34,Low
597,FARM_006,cattle,Simmental,7.988403723859163,644.5346408866587,male,lactating,healthy,30.10599457829576,-8.846878747929212,286.14859711627514,Oceanic,2023-07-14,33.79,91,6.62,137.44,91.18,32.74,Critical
747,FARM_008,cattle,Simmental,6.950266105858269,660.8941412529763,male,lactating,healthy,31.359096517992313,20.919300466654363,222.10789607022323,Semi-arid,2023-12-03,9.25,12,6.14,126.34,53.2,4.4,Low
924,FARM_010,goat,Saanen,1.7284894330298328,68.84529429427295,female,growing,healthy,36.757488779543145,-9.336751942006673,473.99079005818373,Continental,2023-09-07,23.27,65,3.12,329.09,70.83,23.61,Low
752,FARM_008,cattle,Hereford,2.493109219337076,409.87366288983384,male,dry,healthy,31.359096517992313,20.919300466654363,222.10789607022323,Semi-arid,2023-08-30,32.28,56,1.88,213.27,82.41,32.23,High
892,FARM_009,goat,Saanen,4.578802452481263,72.57535682676325,female,growing,healthy,38.88621853293064,-7.6774793640001135,323.39518335564725,Mediterranean,2023-03-14,17.27,40,2.94,267.12,61.4,16.12,Moderate
804,FARM_009,goat,Saanen,2.11166110200124,61.65080443766712,male,growing,healthy,38.88621853293064,-7.6774793640001135,323.39518335564725,Mediterranean,2023-02-22,13.65,58,3.92,244.09,56.9,12.79,Low
172,FARM_002,cattle,Holstein,5.448464651244443,629.3177512717602,male,dry,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-09-12,21.85,21,5.71,498.02,65.57,19.56,Low
803,FARM_009,goat,Toggenburg,6.9674919342115595,48.07367341455033,female,lactating,healthy,38.88621853293064,-7.6774793640001135,323.39518335564725,Mediterranean,2023-01-14,6.64,78,2.1,417.79,45.64,8.59,Low
331,FARM_004,sheep,Merino,5.507329774787915,76.51510666245792,female,pregnant,minor_illness,30.846173685406505,26.099938613341237,472.3487190570876,Continental,2023-01-11,1.68,79,3.83,455.69,37.63,3.01,Low
108,FARM_002,sheep,Rambouillet,3.251079352760203,54.6145293114373,male,lactating,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-10-27,6.6,42,1.96,67.84,48.35,5.09,Low
800,FARM_008,goat,Saanen,1.4806343596576135,57.67334819207818,male,pregnant,healthy,31.359096517992313,20.919300466654363,222.10789607022323,Semi-arid,2023-04-09,29.81,68,3.51,52.12,80.73,28.69,Moderate
133,FARM_002,sheep,Merino,6.233265661233758,75.13601950462396,male,lactating,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-04-20,31.48,41,3.97,373.39,78.71,30.41,Moderate
170,FARM_002,sheep,Merino,3.8367366161938214,74.87324469899453,female,pregnant,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-06-08,39.11,63,0.88,418.65,93.42,40.93,Critical
902,FARM_010,sheep,Dorper,6.165494382991602,79.871462128671,male,growing,healthy,36.757488779543145,-9.336751942006673,473.99079005818373,Continental,2023-09-17,33.29,53,1.08,322.54,83.11,34.0,High
