Numero animale	Data	Produzione totale
311	2021-03-28	34.04
2338	2021-03-28	37.4
2338	2021-03-28	37.4
2096	2021-03-28	34.7
2096	2021-03-28	34.7
2325	2021-03-28	35.11
2325	2021-03-28	35.11
9930	2021-03-28	45.91
9930	2021-03-28	45.91
2166	2021-03-28	38.65
2166	2021-03-28	38.65
2343	2021-03-28	24.11
2343	2021-03-28	24.11
242	2021-03-28	42.89
242	2021-03-28	42.89
2056	2021-03-28	33.43
2056	2021-03-28	33.43
2159	2021-03-28	26.47
2159	2021-03-28	26.47
306	2021-03-28	41.08
306	2021-03-28	41.08
2308	2021-03-28	24.82
2308	2021-03-28	24.82
2321	2021-03-28	39.65
2321	2021-03-28	39.65
2010	2021-03-28	22.92
2010	2021-03-28	22.92
293	2021-03-28	20.4
293	2021-03-28	20.4
2388	2021-03-28	26.11
2388	2021-03-28	26.11
9945	2021-03-28	28.2
9945	2021-03-28	28.2
2164	2021-03-28	25.73
2164	2021-03-28	25.73
3571	2021-03-28	29.49
3571	2021-03-28	29.49
9926	2021-03-28	25.23
9926	2021-03-28	25.23
9938	2021-03-28	29.85
9938	2021-03-28	29.85
2007	2021-03-28	32.43
2007	2021-03-28	32.43
2046	2021-03-28	40.53
2046	2021-03-28	40.53
822	2021-03-28	23.7
822	2021-03-28	23.7
9923	2021-03-28	29.48
9923	2021-03-28	29.48
2197	2021-03-28	32.6
2197	2021-03-28	32.6
2095	2021-03-28	31.58
2095	2021-03-28	31.58
2454	2021-03-28	44.81
2454	2021-03-28	44.81
2132	2021-03-28	19.31
2132	2021-03-28	19.31
2082	2021-03-28	22.08
2082	2021-03-28	22.08
2363	2021-03-28	33.34
2363	2021-03-28	33.34
2149	2021-03-28	39.12
2149	2021-03-28	39.12
2462	2021-03-28	39.56
2462	2021-03-28	39.56
2349	2021-03-28	39.01
2349	2021-03-28	39.01
2327	2021-03-28	40.66
2327	2021-03-28	40.66
2478	2021-03-28	17.5
2478	2021-03-28	17.5
2460	2021-03-28	38.53
2460	2021-03-28	38.53
2400	2021-03-28	38.12
2400	2021-03-28	38.12
2179	2021-03-28	36.79
2179	2021-03-28	36.79
2443	2021-03-28	36.99
2443	2021-03-28	36.99
2320	2021-03-28	31.9
2320	2021-03-28	31.9
2383	2021-03-28	37.2
2383	2021-03-28	37.2
2416	2021-03-28	28.57
2416	2021-03-28	28.57
2411	2021-03-28	27.81
2411	2021-03-28	27.81
2222	2021-03-28	48.28
2222	2021-03-28	48.28
2344	2021-03-28	42.94
2344	2021-03-28	42.94
2404	2021-03-28	40.07
2404	2021-03-28	40.07
2475	2021-03-28	39.11
2475	2021-03-28	39.11
2410	2021-03-28	36.99
2410	2021-03-28	36.99
2449	2021-03-28	36.67
2449	2021-03-28	36.67
2348	2021-03-28	35.22
2348	2021-03-28	35.22
2378	2021-03-28	31.61
2378	2021-03-28	31.61
2489	2021-03-28	41.17
2489	2021-03-28	41.17
2350	2021-03-28	33.09
2350	2021-03-28	33.09
2146	2021-03-28	37.57
2146	2021-03-28	37.57
2100	2021-03-28	40.26
2100	2021-03-28	40.26
2435	2021-03-28	39.78
2435	2021-03-28	39.78
2398	2021-03-28	40.51
2398	2021-03-28	40.51
2211	2021-03-28	40.24
2211	2021-03-28	40.24
2401	2021-03-28	33
2401	2021-03-28	33
2367	2021-03-28	36.48
2367	2021-03-28	36.48
2402	2021-03-28	38.1
2402	2021-03-28	38.1
2403	2021-03-28	34.08
2403	2021-03-28	34.08
2382	2021-03-28	30.19
2382	2021-03-28	30.19
2387	2021-03-28	38.46
2387	2021-03-28	38.46
2409	2021-03-28	40.3
2409	2021-03-28	40.3
2370	2021-03-28	33.68
2370	2021-03-28	33.68
2372	2021-03-28	31.72
2372	2021-03-28	31.72
2439	2021-03-28	31.05
2439	2021-03-28	31.05
2322	2021-03-28	40.39
2322	2021-03-28	40.39
2448	2021-03-28	34.93
2448	2021-03-28	34.93
2510	2021-03-28	39.73
2510	2021-03-28	39.73
2412	2021-03-28	34.36
2412	2021-03-28	34.36
2431	2021-03-28	37.31
2431	2021-03-28	37.31
2424	2021-03-28	29.67
2424	2021-03-28	29.67
2451	2021-03-28	44.3
2451	2021-03-28	44.3
2413	2021-03-28	34.04
2413	2021-03-28	34.04
2391	2021-03-28	34.94
2391	2021-03-28	34.94
2330	2021-03-28	43.98
2330	2021-03-28	43.98
2469	2021-03-28	38.8
2469	2021-03-28	38.8
2135	2021-03-28	33.82
2135	2021-03-28	33.82
2351	2021-03-28	35.98
2351	2021-03-28	35.98
2399	2021-03-28	36.95
2399	2021-03-28	36.95
2509	2021-03-28	43.9
2509	2021-03-28	43.9
2490	2021-03-28	29.25
2490	2021-03-28	29.25
2415	2021-03-28	30.76
2415	2021-03-28	30.76
2436	2021-03-28	35.57
2436	2021-03-28	35.57
2488	2021-03-28	48.77
2488	2021-03-28	48.77
2375	2021-03-28	44.32
2375	2021-03-28	44.32
2352	2021-03-28	33.17
2352	2021-03-28	33.17
2136	2021-03-28	35.29
2136	2021-03-28	35.29
2433	2021-03-28	34.2
2433	2021-03-28	34.2
2513	2021-03-28	33.66
2513	2021-03-28	33.66
2482	2021-03-28	43.06
2482	2021-03-28	43.06
2300	2021-03-28	56.71
2300	2021-03-28	56.71
2474	2021-03-28	30.5
2474	2021-03-28	30.5
2483	2021-03-28	29.51
2483	2021-03-28	29.51
2446	2021-03-28	28.54
2446	2021-03-28	28.54
2463	2021-03-28	29.44
2463	2021-03-28	29.44
2329	2021-03-28	33.39
2329	2021-03-28	33.39
2419	2021-03-28	38.11
2419	2021-03-28	38.11
2346	2021-03-28	33.84
2346	2021-03-28	33.84
2422	2021-03-28	39.37
2422	2021-03-28	39.37
2361	2021-03-28	29.5
2361	2021-03-28	29.5
2423	2021-03-28	34.4
2423	2021-03-28	34.4
2444	2021-03-28	32.97
2444	2021-03-28	32.97
2140	2021-03-28	35.61
2140	2021-03-28	35.61
2373	2021-03-28	28.74
2373	2021-03-28	28.74
2324	2021-03-28	42.53
2324	2021-03-28	42.53
2162	2021-03-28	41.13
2162	2021-03-28	41.13
2452	2021-03-28	35.78
2452	2021-03-28	35.78
2353	2021-03-28	37.45
2353	2021-03-28	37.45
2342	2021-03-28	30.18
2342	2021-03-28	30.18
2380	2021-03-28	33.19
2380	2021-03-28	33.19
2500	2021-03-28	30.36
2500	2021-03-28	30.36
2345	2021-03-28	34.83
2345	2021-03-28	34.83
2461	2021-03-28	33.59
2461	2021-03-28	33.59
2440	2021-03-28	31.24
2440	2021-03-28	31.24
2434	2021-03-28	29.12
2434	2021-03-28	29.12
2390	2021-03-28	30.25
2390	2021-03-28	30.25
2331	2021-03-28	28.65
2331	2021-03-28	28.65
2442	2021-03-28	34.83
2442	2021-03-28	34.83
2481	2021-03-28	35
2481	2021-03-28	35
2420	2021-03-28	33.61
2420	2021-03-28	33.61
2371	2021-03-28	37.11
2371	2021-03-28	37.11
2386	2021-03-28	39.46
2386	2021-03-28	39.46
2237	2021-03-28	39.48
2237	2021-03-28	39.48
2202	2021-03-28	33.41
2202	2021-03-28	33.41
2143	2021-03-28	38.99
2143	2021-03-28	38.99
2356	2021-03-28	39.61
2356	2021-03-28	39.61
2336	2021-03-28	46.34
2336	2021-03-28	46.34
2326	2021-03-28	35.1
2326	2021-03-28	35.1
2414	2021-03-28	39.57
2414	2021-03-28	39.57
2426	2021-03-28	36.31
2426	2021-03-28	36.31
2421	2021-03-28	33.04
2421	2021-03-28	33.04
2355	2021-03-28	26.92
2355	2021-03-28	26.92
2470	2021-03-28	28.59
2470	2021-03-28	28.59
2425	2021-03-28	33.43
2425	2021-03-28	33.43
2427	2021-03-28	37.11
2427	2021-03-28	37.11
2360	2021-03-28	27.86
2360	2021-03-28	27.86
2408	2021-03-28	30.56
2408	2021-03-28	30.56
2381	2021-03-28	37.54
2381	2021-03-28	37.54
2302	2021-03-28	54.72
2302	2021-03-28	54.72
2457	2021-03-28	38.09
2457	2021-03-28	38.09
2437	2021-03-28	29.99
2437	2021-03-28	29.99
2389	2021-03-28	38.81
2389	2021-03-28	38.81
2428	2021-03-28	34.86
2428	2021-03-28	34.86
2405	2021-03-28	34.79
2405	2021-03-28	34.79
2297	2021-03-28	31.81
2297	2021-03-28	31.81
2492	2021-03-28	30.96
2492	2021-03-28	30.96
2495	2021-03-28	25.2
2495	2021-03-28	25.2
2218	2021-03-28	29.15
2218	2021-03-28	29.15
2213	2021-03-28	47.33
2213	2021-03-28	47.33
2429	2021-03-28	32.84
2429	2021-03-28	32.84
2484	2021-03-28	37.13
2484	2021-03-28	37.13
2407	2021-03-28	33.5
2407	2021-03-28	33.5
2508	2021-03-28	28.97
2508	2021-03-28	28.97
2512	2021-03-28	36.16
2512	2021-03-28	36.16
2464	2021-03-28	29.79
2464	2021-03-28	29.79
2039	2021-03-28	46.73
2039	2021-03-28	46.73
2035	2021-03-28	37.36
2035	2021-03-28	37.36
2072	2021-03-28	37.09
2072	2021-03-28	37.09
294	2021-03-28	35.46
294	2021-03-28	35.46
2298	2021-03-28	47.76
2298	2021-03-28	47.76
2251	2021-03-28	47.76
2251	2021-03-28	47.76
2231	2021-03-28	46.19
2231	2021-03-28	46.19
1152	2021-03-28	35.02
1152	2021-03-28	35.02
347	2021-03-28	46.57
347	2021-03-28	46.57
2190	2021-03-28	43.71
2190	2021-03-28	43.71
2168	2021-03-28	37.72
2168	2021-03-28	37.72
223	2021-03-28	47.44
223	2021-03-28	47.44
2292	2021-03-28	58.72
2292	2021-03-28	58.72
2217	2021-03-28	43.97
2217	2021-03-28	43.97
2050	2021-03-28	44.59
2050	2021-03-28	44.59
342	2021-03-28	39.12
342	2021-03-28	39.12
2214	2021-03-28	46.09
2214	2021-03-28	46.09
3392	2021-03-28	51.43
3392	2021-03-28	51.43
2198	2021-03-28	52.95
2198	2021-03-28	52.95
3419	2021-03-28	61.49
3419	2021-03-28	61.49
2024	2021-03-28	31.47
2024	2021-03-28	31.47
2269	2021-03-28	43.64
2269	2021-03-28	43.64
2154	2021-03-28	45.31
2154	2021-03-28	45.31
2232	2021-03-28	39.1
2232	2021-03-28	39.1
2289	2021-03-28	55.09
2289	2021-03-28	55.09
2157	2021-03-28	41.74
2157	2021-03-28	41.74
2282	2021-03-28	47.15
2282	2021-03-28	47.15
2212	2021-03-28	38.74
2212	2021-03-28	38.74
2295	2021-03-28	51.14
2295	2021-03-28	51.14
3546	2021-03-28	53.08
3546	2021-03-28	53.08
326	2021-03-28	53.2
326	2021-03-28	53.2
357	2021-03-28	42.97
357	2021-03-28	42.97
9935	2021-03-28	44.74
9935	2021-03-28	44.74
2030	2021-03-28	43.68
2030	2021-03-28	43.68
231	2021-03-28	42.75
231	2021-03-28	42.75
2123	2021-03-28	30.48
2123	2021-03-28	30.48
2038	2021-03-28	0.14
2038	2021-03-28	0.14
334	2021-03-28	36.35
334	2021-03-28	36.35
2204	2021-03-28	30.29
2204	2021-03-28	30.29
2074	2021-03-28	61.07
2074	2021-03-28	61.07
2257	2021-03-28	40.26
2257	2021-03-28	40.26
2252	2021-03-28	45.22
2252	2021-03-28	45.22
2029	2021-03-28	41.81
2029	2021-03-28	41.81
9931	2021-03-28	44.6
9931	2021-03-28	44.6
2184	2021-03-28	29.99
2184	2021-03-28	29.99
3578	2021-03-28	58.91
3578	2021-03-28	58.91
2186	2021-03-28	32.63
2186	2021-03-28	32.63
2306	2021-03-28	47.1
2306	2021-03-28	47.1
2031	2021-03-28	32.96
2031	2021-03-28	32.96
2081	2021-03-28	40.93
2081	2021-03-28	40.93
2011	2021-03-28	53.85
2011	2021-03-28	53.85
1178	2021-03-28	43.25
1178	2021-03-28	43.25
256	2021-03-28	38.9
256	2021-03-28	38.9
2235	2021-03-28	51.29
2235	2021-03-28	51.29
2239	2021-03-28	47.41
2239	2021-03-28	47.41
1165	2021-03-28	41.64
1165	2021-03-28	41.64
2199	2021-03-28	39.3
2199	2021-03-28	39.3
2049	2021-03-28	54.29
2049	2021-03-28	54.29
2110	2021-03-28	45.16
2110	2021-03-28	45.16
331	2021-03-28	38.99
331	2021-03-28	38.99
2014	2021-03-28	36.11
2014	2021-03-28	36.11
3544	2021-03-28	43.34
3544	2021-03-28	43.34
3382	2021-03-28	50.7
3382	2021-03-28	50.7
258	2021-03-28	40.86
258	2021-03-28	40.86
2073	2021-03-28	39.03
2073	2021-03-28	39.03
2185	2021-03-28	46.59
2185	2021-03-28	46.59
1190	2021-03-28	44.44
1190	2021-03-28	44.44
2153	2021-03-28	35.33
2153	2021-03-28	35.33
2265	2021-03-28	51.61
2265	2021-03-28	51.61
2263	2021-03-28	47.35
2263	2021-03-28	47.35
2189	2021-03-28	43.56
2189	2021-03-28	43.56
3383	2021-03-28	45.81
3383	2021-03-28	45.81
3404	2021-03-28	34.01
3404	2021-03-28	34.01
2177	2021-03-28	51.46
2177	2021-03-28	51.46
1193	2021-03-28	35.33
1193	2021-03-28	35.33
3552	2021-03-28	30.46
3552	2021-03-28	30.46
3577	2021-03-28	46.69
3577	2021-03-28	46.69
1166	2021-03-28	43.5
1166	2021-03-28	43.5
84	2021-03-28	50.09
84	2021-03-28	50.09
2203	2021-03-28	52.03
2203	2021-03-28	52.03
2261	2021-03-28	50.68
2261	2021-03-28	50.68
159	2021-03-28	58.79
159	2021-03-28	58.79
266	2021-03-28	57.7
266	2021-03-28	57.7
2245	2021-03-28	43.07
2245	2021-03-28	43.07
1186	2021-03-28	39.34
1186	2021-03-28	39.34
2102	2021-03-28	56.89
2102	2021-03-28	56.89
2044	2021-03-28	45.79
2044	2021-03-28	45.79
3566	2021-03-28	38.6
3566	2021-03-28	38.6
2051	2021-03-28	64.95
2051	2021-03-28	64.95
2275	2021-03-28	42.87
2275	2021-03-28	42.87
1191	2021-03-28	42.45
1191	2021-03-28	42.45
2037	2021-03-28	47.73
2037	2021-03-28	47.73
2174	2021-03-28	38.36
2174	2021-03-28	38.36
3410	2021-03-28	39.61
3410	2021-03-28	39.61
2151	2021-03-28	38.65
2151	2021-03-28	38.65
2201	2021-03-28	54.61
2201	2021-03-28	54.61
2120	2021-03-28	36.58
2120	2021-03-28	36.58
2170	2021-03-28	37.05
2170	2021-03-28	37.05
3396	2021-03-28	48.44
3396	2021-03-28	48.44
2036	2021-03-28	44.54
2036	2021-03-28	44.54
2248	2021-03-28	45.54
2248	2021-03-28	45.54
2219	2021-03-28	41.21
2219	2021-03-28	41.21
2249	2021-03-28	43.09
2249	2021-03-28	43.09
2043	2021-03-28	48.74
2043	2021-03-28	48.74
3384	2021-03-28	50.61
3384	2021-03-28	50.61
3573	2021-03-28	43.14
3573	2021-03-28	43.14
1156	2021-03-28	27.14
1156	2021-03-28	27.14
1356	2021-03-28	55.11
1356	2021-03-28	55.11
968	2021-03-28	35.16
968	2021-03-28	35.16
2005	2021-03-28	38.28
2005	2021-03-28	38.28
2287	2021-03-28	43.77
2287	2021-03-28	43.77
2075	2021-03-28	65.77
2075	2021-03-28	65.77
115	2021-03-28	37.67
115	2021-03-28	37.67
2240	2021-03-28	46.58
2240	2021-03-28	46.58
2178	2021-03-28	29.98
2178	2021-03-28	29.98
2215	2021-03-28	39.75
2215	2021-03-28	39.75
1192	2021-03-28	31.55
1192	2021-03-28	31.55
1200	2021-03-28	45.08
1200	2021-03-28	45.08
2131	2021-03-28	53.92
2131	2021-03-28	53.92
2045	2021-03-28	55.69
2045	2021-03-28	55.69
163	2021-03-28	48.02
163	2021-03-28	48.02
234	2021-03-28	48.68
234	2021-03-28	48.68
3394	2021-03-28	59.37
3394	2021-03-28	59.37
2254	2021-03-28	57.38
2254	2021-03-28	57.38
2267	2021-03-28	40.2
2267	2021-03-28	40.2
2192	2021-03-28	45.45
2192	2021-03-28	45.45
2260	2021-03-28	15.17
2260	2021-03-28	15.17
2432	2021-03-28	17.67
2432	2021-03-28	17.67
2216	2021-03-28	29.11
2216	2021-03-28	29.11
2171	2021-03-28	19.41
2379	2021-03-28	0
1189	2021-03-29	26.15
1189	2021-03-29	26.15
2137	2021-03-29	22.5
2137	2021-03-29	22.5
2083	2021-03-29	47.2
2083	2021-03-29	47.2
2258	2021-03-29	42.01
2258	2021-03-29	42.01
9909	2021-03-29	21.21
9909	2021-03-29	21.21
2494	2021-03-29	26.58
2494	2021-03-29	26.58
2519	2021-03-29	22.2
2519	2021-03-29	22.2
2506	2021-03-29	29.73
2506	2021-03-29	29.73
2501	2021-03-29	8.85
2501	2021-03-29	8.85
9917	2021-03-29	41.67
9917	2021-03-29	41.67
	2021-03-29	8.13
	2021-03-29	8.13
	2021-03-29	8.13
	2021-03-29	8.13
	2021-03-29	8.13
2502	2021-03-29	30.32
2502	2021-03-29	30.32
2242	2021-03-29	42.36
2242	2021-03-29	42.36
2305	2021-03-29	47.8
2305	2021-03-29	47.8
2084	2021-03-29	24.33
2084	2021-03-29	24.33
2134	2021-03-29	33.86
2134	2021-03-29	33.86
2234	2021-03-29	28.69
2234	2021-03-29	28.69
123	2021-03-29	36.19
123	2021-03-29	36.19
3556	2021-03-29	51.73
3556	2021-03-29	51.73
2314	2021-03-29	45.09
2314	2021-03-29	45.09
2311	2021-03-29	50.83
2311	2021-03-29	50.83
2097	2021-03-29	45.16
2097	2021-03-29	45.16
2253	2021-03-29	48.3
2253	2021-03-29	48.3
2477	2021-03-29	35.05
2477	2021-03-29	35.05
2277	2021-03-29	32.65
2277	2021-03-29	32.65
2338	2021-03-29	41.74
2338	2021-03-29	41.74
161	2021-03-29	39.92
161	2021-03-29	39.92
2070	2021-03-29	52.58
2070	2021-03-29	52.58
9926	2021-03-29	28.65
9926	2021-03-29	28.65
2291	2021-03-29	27.6
2291	2021-03-29	27.6
990	2021-03-29	30.8
990	2021-03-29	30.8
9930	2021-03-29	47.91
9930	2021-03-29	47.91
2366	2021-03-29	32.13
2366	2021-03-29	32.13
2175	2021-03-29	38.78
2175	2021-03-29	38.78
2139	2021-03-29	33.89
2139	2021-03-29	33.89
2156	2021-03-29	29.33
2156	2021-03-29	29.33
9934	2021-03-29	31.4
9934	2021-03-29	31.4
1161	2021-03-29	48.6
1161	2021-03-29	48.6
9927	2021-03-29	29.43
9927	2021-03-29	29.43
203	2021-03-29	33.45
203	2021-03-29	33.45
2332	2021-03-29	36.95
2332	2021-03-29	36.95
366	2021-03-29	30.94
366	2021-03-29	30.94
2259	2021-03-29	29.67
2259	2021-03-29	29.67
2260	2021-03-29	33.92
2260	2021-03-29	33.92
2064	2021-03-29	27.41
2064	2021-03-29	27.41
2276	2021-03-29	41.25
2276	2021-03-29	41.25
2088	2021-03-29	24.82
2088	2021-03-29	24.82
2225	2021-03-29	25.21
2225	2021-03-29	25.21
9947	2021-03-29	23.07
9947	2021-03-29	23.07
2316	2021-03-29	24.16
2316	2021-03-29	24.16
338	2021-03-29	26.2
338	2021-03-29	26.2
2108	2021-03-29	24.52
2108	2021-03-29	24.52
2023	2021-03-29	39.86
2023	2021-03-29	39.86
3551	2021-03-29	61.88
3551	2021-03-29	61.88
318	2021-03-29	25.13
318	2021-03-29	25.13
215	2021-03-29	42.87
215	2021-03-29	42.87
2394	2021-03-29	37.35
2394	2021-03-29	37.35
311	2021-03-29	33.73
311	2021-03-29	33.73
2173	2021-03-29	31.8
2173	2021-03-29	31.8
2323	2021-03-29	25.34
2323	2021-03-29	25.34
2089	2021-03-29	27.26
2089	2021-03-29	27.26
2103	2021-03-29	26.44
2103	2021-03-29	26.44
184	2021-03-29	31.95
184	2021-03-29	31.95
1168	2021-03-29	29.5
1168	2021-03-29	29.5
911	2021-03-29	23.12
911	2021-03-29	23.12
9941	2021-03-29	25.5
9941	2021-03-29	25.5
2144	2021-03-29	31.28
2144	2021-03-29	31.28
3431	2021-03-29	31.58
3431	2021-03-29	31.58
1172	2021-03-29	32.02
1172	2021-03-29	32.02
2000	2021-03-29	40.38
2000	2021-03-29	40.38
2082	2021-03-29	20.06
2082	2021-03-29	20.06
9923	2021-03-29	29.85
9923	2021-03-29	29.85
2176	2021-03-29	23.87
2176	2021-03-29	23.87
3420	2021-03-29	37.97
3420	2021-03-29	37.97
2096	2021-03-29	35.15
2096	2021-03-29	35.15
2063	2021-03-29	39.16
2063	2021-03-29	39.16
293	2021-03-29	20.84
293	2021-03-29	20.84
2321	2021-03-29	38.93
2321	2021-03-29	38.93
2166	2021-03-29	39.61
2166	2021-03-29	39.61
2388	2021-03-29	26.47
2388	2021-03-29	26.47
2343	2021-03-29	24.52
2343	2021-03-29	24.52
2325	2021-03-29	36.46
2325	2021-03-29	36.46
9945	2021-03-29	26.4
9945	2021-03-29	26.4
2056	2021-03-29	34.5
2056	2021-03-29	34.5
306	2021-03-29	42.55
306	2021-03-29	42.55
2208	2021-03-29	29.6
2208	2021-03-29	29.6
822	2021-03-29	22.49
822	2021-03-29	22.49
2164	2021-03-29	26.46
2164	2021-03-29	26.46
2159	2021-03-29	15.09
2159	2021-03-29	15.09
3571	2021-03-29	32.27
3571	2021-03-29	32.27
2308	2021-03-29	23.92
2308	2021-03-29	23.92
9938	2021-03-29	32.34
9938	2021-03-29	32.34
2010	2021-03-29	23.03
2010	2021-03-29	23.03
2105	2021-03-29	32.39
2105	2021-03-29	32.39
2460	2021-03-29	39.12
2460	2021-03-29	39.12
2443	2021-03-29	38.88
2443	2021-03-29	38.88
2387	2021-03-29	39.51
2387	2021-03-29	39.51
2222	2021-03-29	47.77
2222	2021-03-29	47.77
2399	2021-03-29	37.55
2399	2021-03-29	37.55
2400	2021-03-29	40.44
2400	2021-03-29	40.44
2149	2021-03-29	36.98
2149	2021-03-29	36.98
2326	2021-03-29	34.16
2326	2021-03-29	34.16
2371	2021-03-29	38.38
2371	2021-03-29	38.38
2211	2021-03-29	42.09
2211	2021-03-29	42.09
2411	2021-03-29	27.88
2411	2021-03-29	27.88
2349	2021-03-29	39.48
2349	2021-03-29	39.48
242	2021-03-29	43.86
242	2021-03-29	43.86
2022	2021-03-29	18.63
2022	2021-03-29	18.63
2046	2021-03-29	45.56
2046	2021-03-29	45.56
2095	2021-03-29	34.39
2095	2021-03-29	34.39
1159	2021-03-29	40.98
1159	2021-03-29	40.98
2121	2021-03-29	35.22
2121	2021-03-29	35.22
2132	2021-03-29	18.73
2132	2021-03-29	18.73
2007	2021-03-29	34.58
2007	2021-03-29	34.58
2327	2021-03-29	43.07
2327	2021-03-29	43.07
2439	2021-03-29	33.68
2439	2021-03-29	33.68
3541	2021-03-29	32.98
3541	2021-03-29	32.98
2197	2021-03-29	34.59
2197	2021-03-29	34.59
2324	2021-03-29	42.12
2324	2021-03-29	42.12
2320	2021-03-29	33
2320	2021-03-29	33
2383	2021-03-29	38.85
2383	2021-03-29	38.85
2360	2021-03-29	32.88
2360	2021-03-29	32.88
2402	2021-03-29	39.67
2402	2021-03-29	39.67
2490	2021-03-29	33.95
2490	2021-03-29	33.95
2416	2021-03-29	29.09
2416	2021-03-29	29.09
2100	2021-03-29	40.87
2100	2021-03-29	40.87
2451	2021-03-29	46.8
2451	2021-03-29	46.8
2179	2021-03-29	39.42
2179	2021-03-29	39.42
2143	2021-03-29	41.55
2143	2021-03-29	41.55
2509	2021-03-29	43.04
2509	2021-03-29	43.04
2410	2021-03-29	37.97
2410	2021-03-29	37.97
2350	2021-03-29	35.62
2350	2021-03-29	35.62
2322	2021-03-29	42.38
2322	2021-03-29	42.38
2454	2021-03-29	47.25
2454	2021-03-29	47.25
2330	2021-03-29	42.36
2330	2021-03-29	42.36
2432	2021-03-29	38.75
2432	2021-03-29	38.75
2426	2021-03-29	38.24
2426	2021-03-29	38.24
2146	2021-03-29	47.95
