ID	MATR	DNASC	DPAR	LATT	Evento	GLAT	Data	Nota
79	IT018990144063  	2013-07-20	2019-09-13	4	SPOST      	82	2019-12-04	D002A001        
79	IT018990144063  	2013-07-20	2019-09-13	4	PAPOD      	91	2019-12-13	   PS/AS
79	IT018990144063  	2013-07-20	2019-09-13	4	VEND       	311	2020-07-20	2020
82	IT018990144071  	2013-08-15	2018-08-11	3	ASC        	382	2019-08-28	RILEX           
82	IT018990144071  	2013-08-15	2018-08-11	3	PAPOD      	429	2019-10-14	PS              
82	IT018990144071  	2013-08-15	2019-10-18	4	PARTO      	0	2019-10-18	                
82	IT018990144071  	2013-08-15	2019-10-18	4	OK         	21	2019-11-08	-               
82	IT018990144071  	2013-08-15	2019-10-18	4	PAREGG     	28	2019-11-15	OK              
82	IT018990144071  	2013-08-15	2019-10-18	4	SPOST      	29	2019-11-16	D004A002        
82	IT018990144071  	2013-08-15	2019-10-18	4	SPOST      	42	2019-11-29	D002A004        
82	IT018990144071  	2013-08-15	2019-10-18	4	OK         	49	2019-12-06	-               
82	IT018990144071  	2013-08-15	2019-10-18	4	NOF        	55	2019-12-12	X GAMBE         
82	IT018990144071  	2013-08-15	2019-10-18	4	SPOST      	76	2020-01-02	D004A001        
82	IT018990144071  	2013-08-15	2019-10-18	4	PAREGG     	110	2020-02-05	OK              
82	IT018990144071  	2013-08-15	2019-10-18	4	VEND       	360	2020-10-12	2020
83	IT018990144072  	2013-08-14	2018-12-17	3	METR       	236	2019-08-10	OSSI 50         
83	IT018990144072  	2013-08-14	2018-12-17	3	OK         	242	2019-08-16	PG              
83	IT018990144072  	2013-08-14	2018-12-17	3	VUOTA      	246	2019-08-20	GILMORE         
83	IT018990144072  	2013-08-14	2018-12-17	3	VUOTA      	281	2019-09-24	IMPLURAN        
83	IT018990144072  	2013-08-14	2018-12-17	3	NOF        	312	2019-10-25	-               
83	IT018990144072  	2013-08-14	2018-12-17	3	SPOST      	334	2019-11-16	D002A001        
83	IT018990144072  	2013-08-14	2018-12-17	3	VEND       	603	2020-08-11	2020
84	IT018990144073  	2013-08-14	2018-01-25	3	PAPOD      	627	2019-10-14	PD              
84	IT018990144073  	2013-08-14	2019-10-31	4	PARTO      	0	2019-10-31	                
84	IT018990144073  	2013-08-14	2019-10-31	4	PAPOD      	15	2019-11-15	PS              
84	IT018990144073  	2013-08-14	2019-10-31	4	SPOST      	16	2019-11-16	D004A002        
84	IT018990144073  	2013-08-14	2019-10-31	4	RICNT      	22	2019-11-22	LAV             
84	IT018990144073  	2013-08-14	2019-10-31	4	OK         	29	2019-11-29	3PG             
84	IT018990144073  	2013-08-14	2019-10-31	4	OK         	36	2019-12-06	-               
84	IT018990144073  	2013-08-14	2019-10-31	4	PAREGG     	43	2019-12-13	OK              
84	IT018990144073  	2013-08-14	2019-10-31	4	PAREGG     	72	2020-01-11	OK              
84	IT018990144073  	2013-08-14	2019-10-31	4	VUOTA      	82	2020-01-21	ANTONIO         
84	IT018990144073  	2013-08-14	2019-10-31	4	PAPOD      	97	2020-02-05	PD 2            
84	IT018990144073  	2013-08-14	2019-10-31	4	VUOTA      	117	2020-02-25	ANTONIO         
84	IT018990144073  	2013-08-14	2019-10-31	4	GRAV       	142	2020-03-21	MARADONA        
84	IT018990144073  	2013-08-14	2019-10-31	4	MAST       	186	2020-05-04	     4/4
84	IT018990144073  	2013-08-14	2019-10-31	4	SPOST      	195	2020-05-13	D002A001        
84	IT018990144073  	2013-08-14	2019-10-31	4	MAST       	202	2020-05-20	CEF+UBRO        
84	IT018990144073  	2013-08-14	2019-10-31	4	PAPOD      	209	2020-05-27	PS              
84	IT018990144073  	2013-08-14	2019-10-31	4	MAST       	234	2020-06-21	MASTIPDA        
84	IT018990144073  	2013-08-14	2019-10-31	4	PAPOD      	307	2020-09-02	PD              
84	IT018990144073  	2013-08-14	2019-10-31	4	PAREGG     	342	2020-10-07	OK              
84	IT018990144073  	2013-08-14	2019-10-31	4	ASC        	358	2020-10-23	                
84	IT018990144073  	2013-08-14	2020-12-27	5	PARTO      	0	2020-12-27	                
84	IT018990144073  	2013-08-14	2020-12-27	5	SPOST      	25	2021-01-21	D004A002        
84	IT018990144073  	2013-08-14	2020-12-27	5	RICNT      	26	2021-01-22	PG              
84	IT018990144073  	2013-08-14	2020-12-27	5	RICNT      	33	2021-01-29	PG              
84	IT018990144073  	2013-08-14	2020-12-27	5	OK         	47	2021-02-12	-               
84	IT018990144073  	2013-08-14	2020-12-27	5	VUOTA      	79	2021-03-16	JOCKEY          
84	IT018990144073  	2013-08-14	2020-12-27	5	PAPOD      	101	2021-04-07	PD              
84	IT018990144073  	2013-08-14	2020-12-27	5	NOF        	112	2021-04-18	X GAMBE         
84	IT018990144073  	2013-08-14	2020-12-27	5	SPOST      	131	2021-05-07	D002A001        
84	IT018990144073  	2013-08-14	2020-12-27	5	VEND       	187	2021-07-02	2021
89	IT018990144078  	2013-08-18	2018-12-03	4	SPOST      	276	2019-09-05	D002A001        
89	IT018990144078  	2013-08-18	2018-12-03	4	PAREGG     	297	2019-09-26	OK              
89	IT018990144078  	2013-08-18	2018-12-03	4	ASC        	304	2019-10-03	RILEX           
89	IT018990144078  	2013-08-18	2020-01-12	5	PARTO      	0	2020-01-12	                
89	IT018990144078  	2013-08-18	2020-01-12	5	RICNT      	26	2020-02-07	PG              
89	IT018990144078  	2013-08-18	2020-01-12	5	SPOST      	33	2020-02-14	D004A002        
89	IT018990144078  	2013-08-18	2020-01-12	5	OK         	40	2020-02-21	-               
89	IT018990144078  	2013-08-18	2020-01-12	5	PAPOD      	50	2020-03-02	PD              
89	IT018990144078  	2013-08-18	2020-01-12	5	VUOTA      	79	2020-03-31	MARADONA        
89	IT018990144078  	2013-08-18	2020-01-12	5	PAPOD      	106	2020-04-27	PS              
89	IT018990144078  	2013-08-18	2020-01-12	5	OK         	117	2020-05-08	3 OVS           
89	IT018990144078  	2013-08-18	2020-01-12	5	VUOTA      	128	2020-05-19	IMPLURAN        
89	IT018990144078  	2013-08-18	2020-01-12	5	PAREGG     	136	2020-05-27	OK              
89	IT018990144078  	2013-08-18	2020-01-12	5	CISTI      	159	2020-06-19	GNR             
89	IT018990144078  	2013-08-18	2020-01-12	5	CISTI      	160	2020-06-20	5 CC GN.        
89	IT018990144078  	2013-08-18	2020-01-12	5	CISTI      	166	2020-06-26	GNR             
89	IT018990144078  	2013-08-18	2020-01-12	5	VEND       	177	2020-07-07	2020
95	IT018990148384  	2013-08-24	2019-02-07	4	PAPOD      	231	2019-09-26	PD              
95	IT018990148384  	2013-08-24	2019-02-07	4	SPOST      	271	2019-11-05	D002A001        
95	IT018990148384  	2013-08-24	2019-02-07	4	ASC        	323	2019-12-27	                
95	IT018990148384  	2013-08-24	2019-02-07	4	VEND       	435	2020-04-17	2020
100	IT018990148406  	2013-09-02	2018-07-31	4	VEND       	412	2019-09-16	19
105	IT018990148412  	2013-09-08	2019-08-21	4	ABORTO     	0	2019-08-21	218 GG          
105	IT018990148412  	2013-09-08	2018-09-20	3	ABORTO     	335	2019-08-21	218 GG          
105	IT018990148412  	2013-09-08	2019-08-21	4	VEND       	2	2019-08-23	19
112	IT018990148419  	2013-09-13	2019-06-19	4	OK         	51	2019-08-09	-               
112	IT018990148419  	2013-09-13	2019-06-19	4	METR       	52	2019-08-10	OSSI 50         
112	IT018990148419  	2013-09-13	2019-06-19	4	MAST       	76	2019-09-03	MASTIPDP        
112	IT018990148419  	2013-09-13	2019-06-19	4	VUOTA      	83	2019-09-10	IMPLURAN        
112	IT018990148419  	2013-09-13	2019-06-19	4	VUOTA      	106	2019-10-03	MONTOYA         
112	IT018990148419  	2013-09-13	2019-06-19	4	PAREGG     	117	2019-10-14	OK              
112	IT018990148419  	2013-09-13	2019-06-19	4	VUOTA      	146	2019-11-12	MARADONA        
112	IT018990148419  	2013-09-13	2019-06-19	4	VUOTA      	175	2019-12-11	BBBELGA         
112	IT018990148419  	2013-09-13	2019-06-19	4	PAPOD      	206	2020-01-11	PD              
112	IT018990148419  	2013-09-13	2019-06-19	4	VEND       	215	2020-01-20	2020
114	IT018990148426  	2013-09-27	2019-02-19	4	SPOST      	192	2019-08-30	D002A001        
114	IT018990148426  	2013-09-27	2019-02-19	4	PAPOD      	219	2019-09-26	PD              
114	IT018990148426  	2013-09-27	2019-02-19	4	ASC        	336	2020-01-21	                
114	IT018990148426  	2013-09-27	2020-03-16	5	PARTO      	0	2020-03-16	                
114	IT018990148426  	2013-09-27	2020-03-16	5	SPOST      	23	2020-04-08	D004A002        
114	IT018990148426  	2013-09-27	2020-03-16	5	OK         	25	2020-04-10	-               
114	IT018990148426  	2013-09-27	2020-03-16	5	GRAV       	78	2020-06-02	STARJACK        
114	IT018990148426  	2013-09-27	2020-03-16	5	PAPOD      	100	2020-06-24	EM              
114	IT018990148426  	2013-09-27	2020-03-16	5	PAPOD      	205	2020-10-07	PS              
114	IT018990148426  	2013-09-27	2020-03-16	5	SPOST      	225	2020-10-27	D002A001        
114	IT018990148426  	2013-09-27	2020-03-16	5	ASC        	298	2021-01-08	     3/4
114	IT018990148426  	2013-09-27	2021-03-05	6	PARTO      	0	2021-03-05	                
114	IT018990148426  	2013-09-27	2021-03-05	6	VEND       	11	2021-03-16	2021
115	IT018990148427  	2013-09-27	2019-07-22	4	SPOST      	17	2019-08-08	D004A002        
115	IT018990148427  	2013-09-27	2019-07-22	4	OK         	25	2019-08-16	-               
115	IT018990148427  	2013-09-27	2019-07-22	4	CALORE     	61	2019-09-21	                
115	IT018990148427  	2013-09-27	2019-07-22	4	VUOTA      	78	2019-10-08	MONTOYA         
115	IT018990148427  	2013-09-27	2019-07-22	4	PAPOD      	84	2019-10-14	PS              
115	IT018990148427  	2013-09-27	2019-07-22	4	VUOTA      	109	2019-11-08	WILLIE          
115	IT018990148427  	2013-09-27	2019-07-22	4	VUOTA      	131	2019-11-30	MARADONA        
115	IT018990148427  	2013-09-27	2019-07-22	4	VUOTA      	147	2019-12-16	IMPLURAN        
115	IT018990148427  	2013-09-27	2019-07-22	4	VUOTA      	190	2020-01-28	EXPAT           
115	IT018990148427  	2013-09-27	2019-07-22	4	GRAV       	225	2020-03-03	BBBELGA         
115	IT018990148427  	2013-09-27	2019-07-22	4	SPOST      	261	2020-04-08	D002A001        
115	IT018990148427  	2013-09-27	2019-07-22	4	PAREGG     	408	2020-09-02	OK              
115	IT018990148427  	2013-09-27	2019-07-22	4	ASC        	445	2020-10-09	NO-ANTIB        
115	IT018990148427  	2013-09-27	2020-12-06	5	PARTO      	0	2020-12-06	                
115	IT018990148427  	2013-09-27	2020-12-06	5	RITPLAC    	0	2020-12-06	EX+ERGO         
115	IT018990148427  	2013-09-27	2020-12-06	5	MAST       	16	2020-12-22	CEFAX-SP        
115	IT018990148427  	2013-09-27	2020-12-06	5	SPOST      	20	2020-12-26	D004A002        
115	IT018990148427  	2013-09-27	2020-12-06	5	OK         	33	2021-01-08	-               
115	IT018990148427  	2013-09-27	2020-12-06	5	MAST       	72	2021-02-16	MASTIPSA        
115	IT018990148427  	2013-09-27	2020-12-06	5	CALORE     	98	2021-03-14	       /
115	IT018990148427  	2013-09-27	2020-12-06	5	SPOST      	143	2021-04-28	D002A001        
119	IT018990149163  	2013-10-07	2019-01-06	4	SPOST      	231	2019-08-25	D002A001        
119	IT018990149163  	2013-10-07	2019-01-06	4	PAREGG     	263	2019-09-26	OK              
119	IT018990149163  	2013-10-07	2019-01-06	4	ASC        	304	2019-11-06	RILEX           
119	IT018990149163  	2013-10-07	2020-01-01	5	PARTO      	0	2020-01-01	                
119	IT018990149163  	2013-10-07	2020-01-01	5	SPOST      	14	2020-01-15	D004A002        
119	IT018990149163  	2013-10-07	2020-01-01	5	RICNT      	23	2020-01-24	PG              
119	IT018990149163  	2013-10-07	2020-01-01	5	MAST       	33	2020-02-03	PS+PD           
119	IT018990149163  	2013-10-07	2020-01-01	5	OK         	37	2020-02-07	-               
119	IT018990149163  	2013-10-07	2020-01-01	5	FEC        	83	2020-03-24	EXPAT           
119	IT018990149163  	2013-10-07	2020-01-01	5	VEND       	96	2020-04-06	2020
123	IT018990149169  	2013-10-11	2019-01-14	4	SPOST      	261	2019-10-02	D002A001        
123	IT018990149169  	2013-10-11	2019-01-14	4	PAPOD      	305	2019-11-15	PS              
123	IT018990149169  	2013-10-11	2019-01-14	4	ASC        	311	2019-11-21	RILEX           
123	IT018990149169  	2013-10-11	2020-03-26	5	PARTO      	0	2020-03-26	                
123	IT018990149169  	2013-10-11	2020-03-26	5	OK         	22	2020-04-17	-               
123	IT018990149169  	2013-10-11	2020-03-26	5	SPOST      	28	2020-04-23	D004A002        
123	IT018990149169  	2013-10-11	2020-03-26	5	PAPOD      	32	2020-04-27	PDS             
123	IT018990149169  	2013-10-11	2020-03-26	5	GRAV       	82	2020-06-16	IMPLURAN        
123	IT018990149169  	2013-10-11	2020-03-26	5	PAPOD      	160	2020-09-02	PS              
123	IT018990149169  	2013-10-11	2020-03-26	5	SPOST      	215	2020-10-27	D002A001        
123	IT018990149169  	2013-10-11	2020-03-26	5	ASC        	267	2020-12-18	                
123	IT018990149169  	2013-10-11	2021-03-23	6	PARTO      	0	2021-03-23	                
123	IT018990149169  	2013-10-11	2021-03-23	6	CHETOSI    	16	2021-04-08	+++++           
123	IT018990149169  	2013-10-11	2021-03-23	6	VEND       	20	2021-04-12	2021
125	IT018990149171  	2013-10-13	2019-10-05	4	PARTO      	0	2019-10-05	                
125	IT018990149171  	2013-10-13	2019-10-05	4	MAST       	8	2019-10-13	MASTIPDP        
125	IT018990149171  	2013-10-13	2019-10-05	4	PAREGG     	9	2019-10-14	OK              
125	IT018990149171  	2013-10-13	2019-10-05	4	SPOST      	19	2019-10-24	D004A002        
125	IT018990149171  	2013-10-13	2019-10-05	4	OK         	27	2019-11-01	-               
125	IT018990149171  	2013-10-13	2019-10-05	4	CISTI      	76	2019-12-20	GNR             
125	IT018990149171  	2013-10-13	2019-10-05	4	OK         	83	2019-12-27	3 OVS           
125	IT018990149171  	2013-10-13	2019-10-05	4	VUOTA      	87	2019-12-31	ANTONIO         
125	IT018990149171  	2013-10-13	2019-10-05	4	PAREGG     	98	2020-01-11	OK              
125	IT018990149171  	2013-10-13	2019-10-05	4	FEC        	118	2020-01-31	IMPLURAN        
125	IT018990149171  	2013-10-13	2019-10-05	4	VUOTA      	120	2020-02-02	IMPLURAN        
125	IT018990149171  	2013-10-13	2019-10-05	4	GRAV       	151	2020-03-04	BBBELGA         
125	IT018990149171  	2013-10-13	2019-10-05	4	PAPOD      	205	2020-04-27	PS              
125	IT018990149171  	2013-10-13	2019-10-05	4	SPOST      	216	2020-05-08	D002A001        
125	IT018990149171  	2013-10-13	2019-10-05	4	VEND       	228	2020-05-20	2020
128	IT018990149177  	2013-10-20	2018-07-26	3	SPOST      	373	2019-08-03	D002A001        
128	IT018990149177  	2013-10-20	2018-07-26	3	ASC        	386	2019-08-16	RILEX           
128	IT018990149177  	2013-10-20	2018-07-26	3	VEND       	484	2019-11-22	19
136	IT018990149186  	2013-10-29	2018-01-29	3	PAREGG     	605	2019-09-26	OK              
136	IT018990149186  	2013-10-29	2018-01-29	3	ASC        	656	2019-11-16	RILEX           
136	IT018990149186  	2013-10-29	2018-01-29	3	COLLASS    	711	2020-01-10	                
136	IT018990149186  	2013-10-29	2020-01-10	4	PARTO      	0	2020-01-10	                
136	IT018990149186  	2013-10-29	2020-01-10	4	MAST       	14	2020-01-24	MASTIPSA        
136	IT018990149186  	2013-10-29	2020-01-10	4	SPOST      	17	2020-01-27	D004A002        
136	IT018990149186  	2013-10-29	2020-01-10	4	RICNT      	21	2020-01-31	3PG             
136	IT018990149186  	2013-10-29	2020-01-10	4	OK         	28	2020-02-07	-               
136	IT018990149186  	2013-10-29	2020-01-10	4	OK         	49	2020-02-28	-               
136	IT018990149186  	2013-10-29	2020-01-10	4	VEND       	56	2020-03-06	2020
142	IT018990149196  	2013-11-06	2018-10-29	4	PAREGG     	332	2019-09-26	OK              
142	IT018990149196  	2013-11-06	2018-10-29	4	ASC        	365	2019-10-29	RILEX           
142	IT018990149196  	2013-11-06	2019-12-23	5	PARTO      	0	2019-12-23	                
142	IT018990149196  	2013-11-06	2019-12-23	5	VEND       	28	2020-01-20	2020
146	IT018990149202  	2013-11-17	2019-10-05	5	PARTO      	0	2019-10-05	                
146	IT018990149202  	2013-11-17	2018-10-16	4	PAREGG     	363	2019-10-14	OK              
146	IT018990149202  	2013-11-17	2019-10-05	5	SPOST      	23	2019-10-28	D004A002        
146	IT018990149202  	2013-11-17	2019-10-05	5	OK         	27	2019-11-01	-               
146	IT018990149202  	2013-11-17	2019-10-05	5	GRAV       	80	2019-12-24	LANSING         
146	IT018990149202  	2013-11-17	2019-10-05	5	PAPOD      	98	2020-01-11	PSD             
