Data	animal	ID	lie	stand	chewing	nothing	inactive	active	highActive
2019-08-01	IT018990162236	249	837	603	728	712	351	1071	18
2019-08-01	IT018990162239	252	721	719	810	630	225	1193	22
2019-08-01	IT018990162265	264	1054	386	748	692	350	1074	16
2019-08-01	IT018990162270	266	702	678	661	719	483	886	11
2019-08-01	IT018990163896	269	879	561	576	864	407	970	62
2019-08-01	IT018990163900	270	806	634	341	1099	646	788	6
2019-08-01	IT018990163901	271	788	652	699	741	390	1048	2
2019-08-01	IT018990163902	272	593	847	754	686	312	1128	0
2019-08-01	IT018990163911	276	870	570	597	843	294	1085	60
2019-08-01	IT018990163913	278	731	709	674	766	297	1136	7
2019-08-01	IT018990163914	279	810	630	663	777	255	1148	37
2019-08-01	IT018990163917	280	739	701	537	903	447	917	76
2019-08-01	IT018990163920	283	863	577	702	738	337	1083	20
2019-08-01	IT018990163924	284	585	855	533	907	452	973	15
2019-08-01	IT018990163935	293	751	689	631	809	234	1002	203
2019-08-01	IT018990166563	296	766	674	630	810	359	1047	34
2019-08-01	IT018990166573	300	905	535	633	807	420	983	37
2019-08-01	IT018990166605	322	731	709	544	896	395	1014	31
2019-08-01	IT018990166577	303	632	808	668	772	371	1042	27
2019-08-01	IT018990166580	306	791	649	655	785	340	1072	28
2019-08-01	IT018990166586	310	814	626	557	883	447	894	99
2019-08-01	IT018990166587	311	994	446	800	640	324	1108	8
2019-08-01	IT018990166588	312	1038	402	659	781	511	865	64
2019-08-01	IT018990166603	320	760	680	564	876	383	1009	48
2019-08-01	IT018990166609	326	1380	0	0	1380	1380	0	0
2019-08-01	IT018990168073	334	979	461	476	964	508	771	160
2019-08-01	IT018990168076	337	1052	388	594	846	614	824	2
2019-08-01	IT018990168077	338	474	846	556	764	246	994	80
2019-08-01	IT018990097418	626	879	561	459	981	433	871	136
2019-08-01	IT018990106878	698	854	586	604	836	441	864	134
2019-08-01	IT018990116963	798	802	638	488	952	426	973	41
2019-08-01	IT018990120502	822	929	511	533	907	475	944	21
2019-08-01	IT018990122318	844	1039	401	372	1068	752	641	47
2019-08-01	IT018990122362	872	836	604	662	778	395	996	49
2019-08-01	IT018990128605	911	818	622	665	775	432	997	11
2019-08-01	IT018990131966	948	932	508	686	754	437	972	31
2019-08-01	IT018990137101	997	870	570	521	919	360	1068	12
2019-08-01	IT018990168098	1351	715	725	571	869	323	1062	55
2019-08-01	IT018990163384	3384	812	628	478	962	454	912	74
2019-08-01	IT018990163391	3391	665	775	656	784	318	1064	58
2019-08-01	IT018990163394	3394	789	651	457	983	543	890	7
2019-08-01	IT018990163399	3399	614	826	688	752	241	1180	19
2019-08-01	IT018990163401	3401	902	538	508	932	564	841	35
2019-08-01	IT018990163415	3415	731	709	502	938	353	1020	68
2019-08-01	IT018990163416	3416	755	685	596	844	389	998	54
2019-08-01	IT018990163419	3419	932	508	439	1001	619	797	24
2019-08-01	IT018990163425	3425	775	665	605	835	407	1024	9
2019-08-01	IT018990163430	3430	698	742	590	850	331	1027	82
2019-08-01	IT018990163537	3537	603	837	669	771	294	1143	3
2019-08-01	IT018990163541	3541	638	802	596	844	307	1084	50
2019-08-01	IT018990163544	3544	1028	412	586	854	490	950	0
2019-08-01	IT018990163546	3546	861	579	534	906	432	916	92
2019-08-01	IT018990163552	3552	865	575	768	672	359	1054	27
2019-08-01	IT018990163555	3555	766	674	577	863	392	945	103
2019-08-01	IT018990163558	3558	856	584	732	708	321	1088	31
2019-08-01	IT018990163562	3562	665	775	914	526	166	1224	49
2019-08-01	IT018990163431	3431	797	643	450	990	300	928	212
2019-08-01	IT018990179917	9917	848	592	614	826	304	1042	94
2019-08-01	IT018990163568	3568	779	661	696	744	455	985	0
2019-08-01	IT018990163560	3560	919	521	616	824	338	1005	97
2019-08-01	IT018990163551	3551	771	669	732	708	406	1020	14
2019-08-01	IT018990163540	3540	907	533	569	871	436	986	18
2019-08-01	IT018990163571	3571	661	779	648	792	248	1060	132
2019-08-01	IT018990179906	9906	951	489	653	787	445	942	53
2019-08-01	IT018990162232	246	936	504	499	941	447	830	162
2019-08-01	IT018990168063	328	817	623	627	813	371	1056	13
2019-08-01	IT018990163905	275	871	569	776	664	404	1004	32
2019-08-01	IT018990148426	114	683	757	560	880	417	923	100
2019-08-01	IT018990154002	188	697	743	694	746	324	1067	49
2019-08-01	IT018990163581	3581	707	733	707	733	257	1123	60
2019-08-01	IT018990163556	3556	738	702	631	809	269	1043	128
2019-08-01	IT018990179926	9926	795	645	570	870	296	963	181
2019-08-01	IT018990179913	9913	690	750	844	596	347	1063	30
2019-08-01	IT018990163926	286	832	608	681	759	319	1013	108
2019-08-01	IT018990163532	3532	1440	0	0	1440	1440	0	0
2019-08-01	IT018990179909	9909	815	625	676	764	268	1015	156
2019-08-01	IT018990179903	9903	719	721	679	761	250	1071	119
2019-08-01	IT018990179905	9905	823	617	668	772	389	1033	18
2019-08-01	IT018990163566	3566	778	662	781	659	329	1099	12
2019-08-01	IT018990168094	347	741	699	552	888	390	921	129
2019-08-01	IT018990179938	9938	711	729	608	832	317	1040	83
2019-08-01	IT018990168092	345	1050	390	569	871	414	979	47
2019-08-01	IT018990170710	364	749	691	672	768	317	1105	18
2019-08-01	IT018990179935	9935	813	627	576	864	311	884	245
2019-08-01	IT018990179904	9904	776	664	403	1037	448	797	195
2019-08-01	IT018990135881	986	755	685	630	810	438	989	13
2019-08-01	IT018990151460	161	720	720	641	799	330	1051	59
2019-08-01	IT018990148427	115	835	605	717	723	287	1141	12
2019-08-01	IT018990168102	353	812	628	614	826	298	1102	40
2019-08-01	IT018990166585	309	1440	0	0	1440	1440	0	0
2019-08-01	IT018990166589	313	853	587	683	757	330	1072	38
2019-08-01	IT018990151455	159	901	539	566	874	431	945	64
2019-08-01	IT018990144063	79	808	632	481	959	572	683	185
2019-08-01	IT018990163411	3411	686	754	358	1082	530	678	231
2019-08-01	IT018990168096	349	879	561	652	788	461	964	15
2019-08-01	IT018990168099	352	717	723	666	774	258	1174	8
2019-08-01	IT018990166600	1317	689	751	826	614	316	1109	15
2019-08-01	IT018990163410	3410	751	689	587	853	252	1060	128
2019-08-01	IT018990180190	1190	809	631	706	734	357	1048	35
2019-08-01	IT018990180182	1182	762	678	541	899	370	998	72
2019-08-01	IT018990157056	223	920	520	421	1019	466	960	14
2019-08-01	IT018990159690	234	584	856	598	842	418	1000	22
2019-08-01	IT018990157070	228	735	705	650	790	102	1143	195
2019-08-01	IT018990163392	3392	583	857	539	901	305	1061	74
2019-08-01	IT018990163389	3389	915	525	517	923	361	997	82
2019-08-01	IT018990163396	3396	679	761	589	851	370	993	77
2019-08-01	IT018990180176	1176	663	777	612	828	207	874	360
2019-08-01	IT018990163573	3573	747	693	662	778	242	1056	142
2019-08-01	IT018990179950	9950	782	658	395	1045	376	999	65
2019-08-01	IT018990144040	72	1026	414	308	1132	714	663	63
2019-08-01	IT018990153996	186	802	638	659	781	457	963	20
2019-08-01	IT018990179907	9907	890	550	471	969	478	956	6
2019-08-01	IT018990191180	2008	742	698	537	903	336	938	166
2019-08-01	IT018990180155	1155	812	628	549	891	335	974	131
2019-08-01	IT018990148406	100	456	984	619	821	84	1266	90
2019-08-01	IT018990163383	3383	942	498	454	986	515	816	109
2019-08-01	IT018990170714	368	909	531	487	953	431	903	106
2019-08-01	IT018990168103	354	1023	417	517	923	530	739	171
2019-08-01	IT018990170703	1362	740	700	840	600	194	1192	53
2019-08-01	IT018990180200	1200	892	548	389	1051	517	876	47
2019-08-01	IT018990191182	2010	731	709	488	952	314	843	284
2019-08-01	IT018990179930	9930	673	767	474	966	355	845	241
2019-08-01	IT018990180192	1192	726	714	507	933	402	873	166
2019-08-01	IT018990116982	810	394	1046	439	1001	142	1123	175
2019-08-01	IT018990144032	69	649	791	609	831	200	1160	80
2019-08-01	IT018990166595	1315	800	640	320	1120	540	738	162
2019-08-01	IT018990162252	258	705	735	696	744	215	1027	198
2019-08-01	IT018990135871	981	1012	428	740	700	370	1015	55
2019-08-01	IT018990149182	1132	850	590	653	787	496	891	52
2019-08-01	IT018990180167	1167	787	653	670	770	275	1083	82
2019-08-01	IT018990191192	2020	887	553	544	896	380	984	76
2019-08-01	IT018990180154	1154	952	488	559	881	491	910	39
2019-08-01	IT018990180185	1185	882	558	573	867	456	963	21
2019-08-01	IT018990163578	3578	666	774	582	858	328	1092	20
2019-08-01	IT018990191173	2003	959	481	763	677	341	1084	15
2019-08-01	IT018990149177	128	765	675	398	1042	587	853	0
2019-08-01	IT018990170699	357	898	542	548	892	448	969	24
2019-08-01	IT018990163417	3417	941	499	538	902	449	932	59
2019-08-01	IT018990139986	38	748	692	680	760	349	1044	47
2019-08-01	IT018990191207	2035	799	641	507	933	404	762	274
2019-08-01	IT018990179927	9927	709	731	626	814	178	858	404
2019-08-01	IT018990191177	2005	609	831	804	636	209	1215	16
2019-08-01	IT018990180170	1170	897	543	642	798	256	912	271
2019-08-01	IT018990180162	1162	751	689	722	718	274	1151	15
2019-08-01	IT018990179942	9942	896	544	688	752	314	1049	78
2019-08-01	IT018990179934	9934	784	656	722	718	282	1102	56
2019-08-01	IT018990180174	1174	862	578	704	736	288	1105	47
2019-08-01	IT018990180184	1184	722	718	657	783	392	1041	7
2019-08-01	IT018990151475	172	948	492	662	778	416	968	56
2019-08-01	IT018990179911	9911	567	873	622	818	226	917	297
2019-08-01	IT018990180193	1193	965	475	710	730	420	1015	5
2019-08-01	IT018990179933	9933	832	608	783	657	224	1144	72
2019-08-01	IT018990179923	9923	857	583	683	757	342	1059	39
2019-08-01	IT018990191203	2031	857	583	618	822	259	1114	67
2019-08-01	IT018990180156	1156	583	857	622	818	116	1244	80
2019-08-01	IT018990180175	1175	1011	429	558	882	457	905	77
2019-08-01	IT018990191196	2022	791	649	605	835	326	1097	17
2019-08-01	IT018990180166	1166	860	580	595	845	375	799	264
2019-08-01	IT018990163423	3423	811	629	665	775	368	1014	58
2019-08-01	IT018990179941	9941	791	649	698	742	393	1003	44
2019-08-01	IT018990163563	3563	502	938	694	746	261	907	271
2019-08-01	IT018990180158	1158	948	492	774	666	341	1096	3
2019-08-01	IT018990191190	2017	641	799	623	817	248	1014	178
2019-08-01	IT018990180163	1163	678	762	885	555	351	1070	19
2019-08-01	IT018990168066	331	654	786	669	771	303	1038	99
2019-08-01	IT018990180197	1197	808	632	466	974	403	859	177
2019-08-01	IT018990179947	9947	772	668	499	941	406	805	229
2019-08-01	IT018990191186	2014	1110	330	908	532	339	1100	1
2019-08-01	IT018990180159	1159	647	793	541	899	257	852	331
2019-08-01	IT018990191188	2016	848	592	715	725	352	1062	26
2019-08-01	IT018990180168	1168	818	622	639	801	282	1081	77
2019-08-01	IT018990180153	1153	1440	0	0	1440	1440	0	0
2019-08-01	IT018990168081	342	865	575	517	923	450	939	51
2019-08-01	IT018990162248	256	892	548	601	839	390	901	150
2019-08-01	IT018990180171	1171	816	624	559	881	444	994	2
2019-08-01	IT018990191211	2038	931	509	640	800	489	899	52
2019-08-01	IT018990191201	2029	786	654	710	730	408	1032	0
2019-08-01	IT018990191205	2033	715	725	670	770	288	1120	32
2019-08-01	IT018990191220	2047	847	593	590	850	452	942	46
2019-08-01	IT018990179918	9918	694	746	837	603	282	1145	13
2019-08-01	IT018990163542	3542	919	521	696	744	370	1003	67
2019-08-01	IT018990163538	3538	839	601	527	913	395	1006	39
2019-08-01	IT018990179921	9921	864	576	649	791	315	1056	69
2019-08-01	IT018990179901	9901	822	618	633	807	402	948	90
2019-08-01	IT018990163564	3564	504	936	646	794	265	1099	76
2019-08-01	IT018990179931	9931	704	736	880	560	297	1098	45
2019-08-01	IT018990191172	2000	680	760	737	703	317	1100	23
2019-08-01	IT018990179925	9925	824	616	633	807	386	986	68
2019-08-01	IT018990180152	1152	810	630	552	888	346	804	290
2019-08-01	IT018990180177	1177	751	689	762	678	296	1093	51
2019-08-01	IT018990180178	1178	769	671	879	561	194	1237	9
2019-08-01	IT018990191178	2006	725	715	530	910	316	1046	78
2019-08-01	IT018990179949	9949	638	802	438	1002	453	940	47
2019-08-01	IT018990191174	2004	755	685	497	943	502	928	10
2019-08-01	IT018990179945	9945	794	646	700	740	390	1047	3
2019-08-01	IT018990180186	1186	788	652	572	868	341	949	150
2019-08-01	IT018990163554	3554	760	680	669	771	319	1096	25
2019-08-01	IT018990191199	2027	701	739	773	667	236	1204	0
2019-08-01	IT018990179940	9940	732	708	565	875	330	1083	27
2019-08-01	IT018990179902	9902	653	787	839	601	338	1018	84
2019-08-01	IT018990180161	1161	746	694	624	816	355	1021	64
2019-08-01	IT018990180179	1179	1440	0	0	1440	1440	0	0
2019-08-01	IT018990179915	9915	819	621	663	777	333	1086	21
2019-08-01	IT018990180189	1189	670	770	542	898	360	656	424
2019-08-01	IT018990180169	1169	582	858	623	817	245	1122	73
2019-08-01	IT018990180196	1196	821	619	592	848	321	1059	60
2019-08-01	IT018990180172	1172	737	703	826	614	300	1125	15
2019-08-01	IT018990180165	1165	677	763	746	694	300	1072	68
2019-08-01	IT018990137096	995	864	576	594	846	387	995	58
2019-08-01	IT018990163404	3404	803	637	529	911	440	743	255
2019-08-01	IT018990163388	3388	1440	0	0	1440	1440	0	0
2019-08-01	IT018990151468	166	1108	332	659	781	524	908	8
2019-08-01	IT018990163925	1285	961	479	511	929	554	874	12
2019-08-01	IT018990157029	206	834	606	582	858	419	787	234
2019-08-01	IT018990166601	318	740	700	580	860	258	932	250
2019-08-01	IT018990198237	2073	814	626	543	897	367	1066	7
2019-08-01	IT018990163577	3577	932	508	669	771	357	1067	16
2019-08-01	IT018990191216	2043	715	725	459	981	394	928	118
2019-08-01	IT018990195789	2050	737	703	814	626	254	1147	39
2019-08-01	IT018990191191	2018	976	464	570	870	387	1035	18
2019-08-01	IT018990191217	2044	826	614	723	717	382	1028	30
2019-08-01	IT018990191200	2028	796	644	711	729	357	1056	27
2019-08-01	IT018990191219	2046	782	658	644	796	263	1049	128
2019-08-01	IT018990195824	2070	707	733	546	894	313	1095	32
2019-08-01	IT018990162253	259	820	620	636	804	305	1070	65
2019-08-01	IT018990191202	2030	896	544	776	664	328	1081	31
2019-08-01	IT018990191194	2023	908	532	451	989	582	825	33
2019-08-01	IT018990195819	2069	764	676	662	778	373	1039	28
2019-08-01	IT018990195799	2057	734	706	546	894	380	827	233
2019-08-01	IT018990191212	2039	825	615	597	843	318	974	148
2019-08-01	IT018990191208	2036	838	602	517	923	404	955	81
2019-08-01	IT018990198241	2075	818	622	678	762	314	1090	36
2019-08-01	IT018990198238	2074	845	595	766	674	313	1108	19
2019-08-01	IT018990191218	2045	574	866	609	831	251	984	206
2019-08-01	IT018990191215	2042	739	701	538	902	401	1014	25
2019-08-01	IT018990199316	2102	859	581	469	971	429	992	19
2019-08-01	IT018990199336	2118	882	558	531	909	368	991	81
2019-08-01	IT018990195829	2072	757	683	639	801	315	904	221
2019-08-01	IT018990191214	2041	857	583	660	780	330	1007	103
2019-08-01	IT018990191183	2011	903	537	656	784	378	1046	16
2019-08-01	IT018990195790	2051	858	582	595	845	328	879	234
2019-08-01	IT018990199306	2097	813	627	481	959	377	827	237
2019-08-01	IT018990198264	2088	728	712	504	936	376	988	76
2019-08-01	IT018990198246	2081	524	916	596	844	193	1129	119
2019-08-01	IT018990199329	2111	900	540	588	852	428	960	52
2019-08-01	IT018990195798	2056	836	604	597	843	431	1004	5
2019-08-01	IT018990191179	2007	834	606	669	771	378	963	98
2019-08-01	IT018990199303	2096	916	524	592	848	354	960	126
2019-08-01	IT018990191184	2012	641	799	519	921	307	996	137
2019-08-01	IT018990195812	2064	708	732	556	884	312	1004	124
2019-08-01	IT018990201160	2131	874	566	595	845	293	1087	60
2019-08-01	IT018990191189	2019	836	604	598	842	332	1091	17
2019-08-01	IT018990195816	2067	803	637	574	866	350	1056	34
2019-08-01	IT018990191195	2024	837	603	704	736	380	1037	23
2019-08-01	IT018990199351	2126	803	637	502	938	431	848	161
2019-08-01	IT018990195809	2063	758	682	623	817	358	1080	2
2019-08-01	IT018990198255	2085	685	755	584	856	269	1105	66
2019-08-01	IT018990198240	2077	708	732	520	920	479	878	84
2019-08-01	IT018990195803	2061	839	601	617	823	236	1166	38
2019-08-01	IT018990198250	2083	816	624	525	915	402	960	78
2019-08-01	IT018990195800	2058	622	818	799	641	276	1060	104
2019-08-01	IT018990199311	2100	825	615	621	819	326	870	245
2019-08-01	IT018990157041	215	886	554	849	591	381	1051	8
2019-08-01	IT018990195818	2068	928	512	655	785	347	1072	21
2019-08-01	IT018990199333	2115	711	729	663	777	163	1016	261
2019-08-01	IT018990199349	2125	828	612	547	893	506	861	73
2019-08-01	IT018990199337	2119	842	598	592	848	375	1065	0
2019-08-01	IT018990198269	2091	776	664	650	790	308	1060	72
2019-08-01	IT018990198256	2086	961	479	630	810	413	968	59
2019-08-01	IT018990198247	2082	807	633	524	916	435	991	14
2019-08-01	IT018990199319	2104	616	824	596	844	282	1051	107
2019-08-01	IT018990198244	2079	878	562	568	872	411	1007	22
2019-08-01	IT018990198278	2094	801	639	579	861	294	878	267
2019-08-01	IT018990199341	2121	743	697	676	764	333	987	120
2019-08-01	IT018990199328	2110	727	713	560	880	293	897	250
2019-08-01	IT018990195828	2071	660	0	0	660	660	0	0
2019-08-01	IT018990199346	2124	823	617	446	994	354	951	134
2019-08-01	IT018990199334	2116	676	764	577	863	317	997	126
2019-08-01	IT018990201152	2127	641	799	659	781	201	1159	80
2019-08-01	IT018990199343	2105	720	720	738	702	250	1126	64
2019-08-01	IT018990213400	2292	182	358	230	310	59	423	58
2019-08-01	IT018990215549	2297	703	737	499	941	357	705	377
2019-08-01	IT018990213393	2286	729	711	465	975	300	820	320
2019-08-01	IT018990215543	2293	547	893	397	1043	406	668	366
2019-08-01	IT018990199344	2122	792	648	620	820	307	1078	55
2019-08-01	IT018990201164	2133	692	748	506	934	396	935	108
2019-08-01	IT018990191213	2040	878	562	807	633	383	1048	9
2019-08-01	IT018990199318	2103	748	692	617	823	338	917	186
2019-08-01	IT018990201166	2134	737	703	538	902	336	887	217
2019-08-01	IT018990195814	2065	736	704	603	837	356	1044	40
2019-08-01	IT018990159705	237	774	666	661	779	433	990	17
2019-08-01	IT018990111271	741	762	678	812	628	222	1197	21
2019-08-01	IT018990195788	2049	722	718	579	861	309	1042	89
2019-08-01	IT018990198281	2095	920	520	537	903	453	854	133
2019-08-01	IT018990199312	2101	722	718	614	826	294	1027	119
2019-08-01	IT018990199323	2108	911	529	555	885	425	1000	15
2019-08-01	IT018990199327	2109	692	748	492	948	296	925	220
2019-08-01	IT018990201163	2132	799	641	640	800	351	956	133
2019-08-01	IT018990201165	2135	737	703	586	854	330	933	177
2019-08-01	IT018990201172	2136	679	761	527	913	359	843	238
2019-08-01	IT018990201175	2139	876	564	813	627	357	960	123
2019-08-01	IT018990201180	2140	888	552	521	919	447	981	12
2019-08-01	IT018990203366	2142	802	638	565	875	353	960	128
2019-08-01	IT018990203367	2143	590	850	575	865	256	969	214
2019-08-01	IT018990203372	2144	786	654	652	788	350	1035	55
2019-08-01	IT018990203373	2145	816	624	718	722	266	1132	42
2019-08-01	IT018990203374	2146	595	845	486	954	280	902	258
2019-08-01	IT018990203387	2150	794	646	681	759	308	1086	46
2019-08-01	IT018990203406	2156	739	701	566	874	267	991	181
2019-08-01	IT018990212608	2244	850	590	459	981	421	949	70
2019-08-01	IT018990212611	2247	769	551	377	943	434	569	318
2019-08-01	IT018990212621	2254	806	634	478	962	412	804	224
2019-08-01	IT018990212638	2259	729	711	494	946	339	721	380
2019-08-01	IT018990212641	2262	879	561	481	959	407	741	292
2019-08-01	IT018990213357	2268	792	648	434	1006	410	876	155
2019-08-01	IT018990213368	2277	769	671	490	950	393	684	362
2019-08-01	IT018990213376	2278	615	825	471	969	300	751	388
2019-08-01	IT018990213382	2283	718	722	503	937	328	647	465
2019-08-01	IT018990213392	2285	802	638	518	922	440	792	208
2019-08-01	IT018990215545	2294	736	704	549	891	274	876	290
2019-08-01	IT018990215548	2296	635	805	486	954	342	695	402
2019-08-01	IT018990215551	2299	645	795	532	908	269	858	313
2019-08-01	IT018990215554	2302	740	700	548	892	353	945	142
2019-08-01	IT018990215553	2301	817	623	447	993	446	795	198
2019-08-01	IT018990215565	2305	815	625	531	909	361	907	172
2019-08-01	IT018990215566	2306	754	686	514	926	391	767	282
2019-08-01	IT018990215567	2307	743	697	522	918	371	738	331
2019-08-01	IT018990215568	2308	869	571	494	946	418	827	195
2019-08-01	IT018990215569	2309	773	667	568	872	304	882	254
2019-08-01	IT018990215570	2310	753	687	496	944	329	679	432
2019-08-01	IT018990215571	2311	736	704	488	952	434	787	219
2019-08-01	IT018990215579	2314	637	803	468	972	332	822	286
2019-08-01	IT018990215580	2315	742	698	467	973	442	752	245
2019-08-01	IT018990215582	2317	647	793	632	808	270	1032	138
2019-08-01	IT018990216742	2320	802	638	496	944	386	772	281
2019-08-01	IT018990216743	2321	835	605	517	923	415	855	170
2019-08-01	IT018990216750	2323	657	783	491	949	285	867	288
2019-08-01	IT018990216751	2324	760	680	519	921	329	758	353
2019-08-01	IT018990216752	2325	646	794	485	955	324	638	478
2019-08-01	IT018990216753	2326	743	697	462	978	373	972	95
2019-08-01	IT018990216754	2327	710	730	414	1026	355	693	392
2019-08-01	IT018990216765	2332	735	705	488	952	340	665	435
2019-08-01	IT018990216769	2336	702	738	370	1070	486	832	122
2019-08-01	IT018990216770	2337	632	808	594	846	239	959	243
2019-08-02	IT018990137111	2	680	700	757	623	392	987	1
2019-08-02	IT018990139961	20	945	495	584	856	404	908	127
2019-08-02	IT018990139970	26	972	468	716	724	463	964	13
2019-08-02	IT018990141387	55	815	625	709	731	433	1002	5
2019-08-02	IT018990141393	59	990	450	628	812	350	1078	12
2019-08-02	IT018990144056	77	858	582	617	823	337	1056	47
2019-08-02	IT018990144071	82	677	763	560	880	407	1011	22
2019-08-02	IT018990144072	83	431	1009	442	998	161	1064	215
2019-08-02	IT018990144073	84	984	456	395	1045	705	717	18
2019-08-02	IT018990144078	89	960	480	727	713	505	935	0
2019-08-02	IT018990148384	95	755	685	611	829	314	1117	9
2019-08-02	IT018990148412	105	924	516	502	938	549	882	9
2019-08-02	IT018990148419	112	506	934	629	811	283	1148	9
2019-08-02	IT018990149163	119	625	815	715	725	335	1082	23
2019-08-02	IT018990149169	123	946	494	694	746	506	934	0
2019-08-02	IT018990149171	125	293	307	236	364	89	342	169
2019-08-02	IT018990149186	136	1035	405	450	990	649	788	3
2019-08-02	IT018990149196	142	929	511	571	869	452	953	35
2019-08-02	IT018990151448	155	863	577	633	807	470	945	25
2019-08-02	IT018990151453	157	479	901	473	907	186	1072	122
2019-08-02	IT018990151462	163	899	541	695	745	358	1082	0
2019-08-02	IT018990151477	174	751	689	813	627	366	1070	4
2019-08-02	IT018990151481	178	758	682	747	693	207	1086	146
2019-08-02	IT018990153994	184	694	746	402	1038	416	924	100
2019-08-02	IT018990154001	187	947	493	617	823	584	846	10
2019-08-02	IT018990157023	201	586	794	654	726	334	1035	11
2019-08-02	IT018990157025	203	731	709	588	852	444	996	0
2019-08-02	IT018990157030	207	771	669	700	740	290	1089	61
2019-08-02	IT018990157045	219	575	865	673	767	213	915	312
2019-08-02	IT018990157059	224	680	700	636	744	329	943	108
2019-08-02	IT018990157066	226	657	783	726	714	446	989	5
2019-08-02	IT018990159685	231	824	616	658	782	444	937	59
2019-08-02	IT018990159701	235	797	643	623	817	437	986	17
2019-08-02	IT018990159704	236	805	635	650	790	350	1058	32
2019-08-02	IT018990162225	242	651	789	711	729	317	1119	4
2019-08-02	IT018990162236	249	903	537	637	803	454	963	23
2019-08-02	IT018990162239	252	842	598	661	779	420	1000	20
2019-08-02	IT018990162265	264	1405	35	156	1284	1258	182	0
2019-08-02	IT018990162270	266	732	708	791	649	454	984	2
2019-08-02	IT018990163896	269	887	493	601	779	372	952	56
2019-08-02	IT018990163900	270	1380	0	0	1380	1380	0	0
2019-08-02	IT018990163901	271	816	624	658	782	394	1003	43
2019-08-02	IT018990163902	272	655	785	767	673	346	1093	1
2019-08-02	IT018990163911	276	886	554	578	862	388	1039	13
2019-08-02	IT018990163913	278	686	754	709	731	250	1179	11
2019-08-02	IT018990163914	279	809	631	614	826	263	1143	35
2019-08-02	IT018990163917	280	718	662	558	822	381	928	71
2019-08-02	IT018990163920	283	923	517	749	691	348	1084	8
2019-08-02	IT018990163924	284	469	971	552	888	422	1018	0
2019-08-02	IT018990163935	293	760	680	577	863	350	920	170
2019-08-02	IT018990166563	296	758	682	601	839	337	1089	14
2019-08-02	IT018990166573	300	985	455	561	879	550	869	21
2019-08-02	IT018990166605	322	633	747	494	886	302	1034	44
2019-08-02	IT018990166577	303	685	755	644	796	470	951	19
2019-08-02	IT018990166580	306	848	592	605	835	458	966	16
2019-08-02	IT018990166586	310	850	590	517	923	532	850	58
2019-08-02	IT018990166587	311	1003	437	615	825	437	1003	0
2019-08-02	IT018990166588	312	947	493	652	788	516	886	38
2019-08-02	IT018990166603	320	701	739	510	930	398	1035	7
2019-08-02	IT018990166609	326	1440	0	0	1440	1440	0	0
2019-08-02	IT018990168073	334	1032	408	421	1019	596	654	189
2019-08-02	IT018990168076	337	730	710	825	615	361	1071	8
2019-08-02	IT018990168077	338	358	722	407	673	216	802	62
2019-08-02	IT018990097418	626	986	454	527	913	575	736	129
2019-08-02	IT018990106878	698	866	574	614	826	386	955	98
2019-08-02	IT018990116963	798	871	569	535	905	413	1021	6
2019-08-02	IT018990120502	822	944	496	484	956	504	933	3
